added_edge_correction_rel_max,added_edge_correction_rel_median,added_edge_correction_rel_p90,added_edge_fraction,added_edge_negative_lambda_fraction,assembly_seconds,boundary_band_live,boundary_edge_correction_rel_max,boundary_edge_correction_rel_median,boundary_edge_correction_rel_p90,boundary_edge_fraction,boundary_edge_negative_lambda_fraction,cloud_seconds,condition_estimate,constraint_resid_inf,constraint_resid_l2,core_edge_correction_rel_max,core_edge_correction_rel_median,core_edge_correction_rel_p90,core_edge_fraction,core_edge_negative_lambda_fraction,correction_abs_max,correction_abs_median,correction_rel_l2,correction_rel_max,correction_rel_median,correction_rel_p90,domain,effective_weight_added_edge_median,effective_weight_added_edge_p90,effective_weight_boundary_edge_median,effective_weight_boundary_edge_p90,effective_weight_core_edge_median,effective_weight_core_edge_p90,effective_weight_median,effective_weight_original_boundary_edge_median,effective_weight_original_boundary_edge_p90,effective_weight_original_core_edge_median,effective_weight_original_core_edge_p90,effective_weight_original_edge_median,effective_weight_original_edge_p90,effective_weight_p90,h,l2,lambda_ratio_median,linf,max_local_cond,median_local_cond,method,n_added_edges,n_edges,n_points,negative_lambda_fraction,original_boundary_edge_correction_rel_max,original_boundary_edge_correction_rel_median,original_boundary_edge_correction_rel_p90,original_boundary_edge_fraction,original_boundary_edge_negative_lambda_fraction,original_core_edge_correction_rel_max,original_core_edge_correction_rel_median,original_core_edge_correction_rel_p90,original_core_edge_fraction,original_core_edge_negative_lambda_fraction,original_edge_correction_rel_max,original_edge_correction_rel_median,original_edge_correction_rel_p90,original_edge_fraction,original_edge_negative_lambda_fraction,problem,protected_interface_nodes,seed,solve_seconds,total_seconds,trial,unstable
,,,,,0.0275343969988171,,,,,,,0.05574871299904771,42.01830382513883,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.0530362087553204,,2.8509902855163674,21.447262877619043,9.351748413557956,wls_strong,,,94,,,,,,,,,,,,,,,,,smooth_variable,,8101,0.000486759003251791,0.0837698690011166,1,False
nan,nan,nan,0.0,nan,0.03791619300318416,0.0,3.7317496528811507,0.6374305441602597,2.1262760160968406,0.7162162162162162,0.37971698113207547,0.05056999599037226,128.12197498190753,4.0573220906603884e-11,1.9939674858464706e-10,2.944254921462482,0.28180059966168924,1.8333752861310462,0.28378378378378377,0.2619047619047619,0.881049622940549,0.14259550891191414,0.6107960298358283,3.7317496528811507,0.5228015754376034,2.0394637247863616,circle,nan,nan,3.3337838755088915,14.115252416119711,4.526516822640221,19.27885430755358,3.7394836276408583,3.3337838755088915,14.115252416119711,4.526516822640221,19.27885430755358,3.7394836276408583,17.328147571862004,17.328147571862004,0.2,0.28041165655038336,0.7833579366291663,0.520674711974453,24.82383817502041,9.912977839464897,ccpfm_flux,0,1184,97,0.34628378378378377,3.7317496528811507,0.6374305441602597,2.1262760160968406,0.7162162162162162,0.37971698113207547,2.944254921462482,0.28180059966168924,1.8333752861310462,0.28378378378378377,0.2619047619047619,3.7317496528811507,0.5228015754376034,2.0394637247863616,1.0,0.34628378378378377,smooth_variable,0,8100,0.00036561800516210496,0.08885180699871853,0,False
,,,,,0.03791341799660586,,,,,,,0.060474140002042986,38.76267587507142,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.1707934841086935,,3.90948544270187,21.67240636949032,9.424677205927896,wls_strong,,,97,,,,,,,,,,,,,,,,,smooth_variable,,8100,0.0007719420100329444,0.09915950000868179,0,False
,,,,,0.022646122000878677,,,,,,,0.03005277700140141,47.430494465129165,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.1333311663475574,,2.929040813756185,22.781505993855724,9.443401304406935,wls_strong,,,97,,,,,,,,,,,,,,,,,smooth_variable,,8102,0.0005246130021987483,0.053223512004478835,2,False
nan,nan,nan,0.0,nan,0.054480206992593594,0.0,4.126325400084624,0.6006322375205054,2.1785302741945705,0.745374449339207,0.36879432624113473,0.05699191700841766,125.9085215450018,3.034867669671204e-11,1.5358132676009449e-10,2.9775070111629804,0.2476117394328637,1.703007520586954,0.25462555066079295,0.23183391003460208,0.9757455353862452,0.1254171550403445,0.6031156944651237,4.126325400084624,0.4979111701550695,2.088816219369576,circle,nan,nan,3.2678813986796866,12.897190439671744,4.752168130190847,20.06794493865958,3.462954512319251,3.2678813986796866,12.897190439671744,4.752168130190847,20.06794493865958,3.462954512319251,16.090779060005694,16.090779060005694,0.2,0.2932568958413456,0.7823724236280376,0.5407302084992838,26.14575845788831,9.962982383724984,ccpfm_flux,0,1135,94,0.333920704845815,4.126325400084624,0.6006322375205054,2.1785302741945705,0.745374449339207,0.36879432624113473,2.9775070111629804,0.2476117394328637,1.703007520586954,0.25462555066079295,0.23183391003460208,4.126325400084624,0.4979111701550695,2.088816219369576,1.0,0.333920704845815,smooth_variable,0,8101,0.00040210400766227394,0.11187422800867353,1,False
,,,,,0.020708645999548025,,,,,,,0.0349187840038212,48.329755272485976,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.391099386630869,,4.43915106017247,22.914173872239314,9.379182072822907,wls_strong,,,95,,,,,,,,,,,,,,,,,smooth_variable,,8104,0.00026341799821238965,0.05589084800158162,4,False
nan,nan,nan,0.0,nan,0.05638539500068873,0.0,4.065517107663876,0.6487463308386707,2.106047692437119,0.7248945147679325,0.37718277066356226,0.03908757500175852,126.61629435726466,4.406981030102841e-11,1.9917853395622542e-10,2.8264376845620993,0.21409032895203686,1.7963005946778572,0.2751054852320675,0.2607361963190184,0.8088748609979937,0.13678024435280253,0.6091935119881811,4.065517107663876,0.5014041859765855,2.0294807679166276,circle,nan,nan,3.373279550157113,12.89719043967879,4.813584020117974,20.233945002357128,3.725607122477162,3.373279550157113,12.89719043967879,4.813584020117974,20.233945002357128,3.725607122477162,17.150094826446292,17.150094826446292,0.2,0.27221407334696307,0.818952480324291,0.5447656157537002,24.746443564809983,10.115239122193247,ccpfm_flux,0,1185,97,0.34514767932489454,4.065517107663876,0.6487463308386707,2.106047692437119,0.7248945147679325,0.37718277066356226,2.8264376845620993,0.21409032895203686,1.7963005946778572,0.2751054852320675,0.2607361963190184,4.065517107663876,0.5014041859765855,2.0294807679166276,1.0,0.34514767932489454,smooth_variable,0,8102,0.00042060899431817234,0.09589357899676543,2,False
nan,nan,nan,0.0,nan,0.034727790000033565,0.0,4.104552188246051,0.6180137631632586,2.170152315542253,0.717948717948718,0.3726190476190476,0.03389262799464632,127.12775602553303,4.643351675381879e-11,2.0304997529742282e-10,2.7736350245319827,0.22467993860759491,1.812071827919977,0.28205128205128205,0.2696969696969697,0.8261359786481809,0.13466317377757095,0.6043337859381391,4.104552188246051,0.49654553569941745,1.9875072715183209,circle,nan,nan,3.3375836852923264,12.902112878136956,4.742321753498264,20.44487250734365,3.761638767761459,3.3375836852923264,12.902112878136956,4.742321753498264,20.44487250734365,3.761638767761459,17.72485700976165,17.72485700976165,0.2,0.27457938209954447,0.7874060164027743,0.6366770765496441,25.961056703388174,10.121431966874868,ccpfm_flux,0,1170,97,0.3435897435897436,4.104552188246051,0.6180137631632586,2.170152315542253,0.717948717948718,0.3726190476190476,2.7736350245319827,0.22467993860759491,1.812071827919977,0.28205128205128205,0.2696969696969697,4.104552188246051,0.49654553569941745,1.9875072715183209,1.0,0.3435897435897436,smooth_variable,0,8103,0.0003003919991897419,0.06892080999386963,3,False
,,,,,0.03734205100045074,,,,,,,0.047903351005516015,61.783969195198274,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.554147023295931,,4.933207875886182,21.217790661290287,9.474436564134685,wls_strong,,,97,,,,,,,,,,,,,,,,,smooth_variable,,8103,0.0005951679922873154,0.08584056999825407,3,False
,,,,,0.023118861005059443,,,,,,,0.03214357400429435,47.62195030965567,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.0488524744154408,,3.026112330060948,21.270402101644628,9.314667080706622,wls_strong,,,97,,,,,,,,,,,,,,,,,smooth_variable,,8106,0.0003524769999785349,0.05561491200933233,6,False
