assembly_seconds,constraint_resid_inf,constraint_resid_l2,correction_rel_l2,domain,family_seed,frac_err2_near_boundary_interior,frac_max_error_on_boundary,h_target,l2,l2_core_interior,l2_interior,l2_near_boundary_interior,lambda_ratio_median,linf,linf_core_interior,linf_interior,linf_near_boundary_interior,max_error_idx,max_error_is_boundary,max_error_x,max_error_y,max_local_cond,max_namls_reproduction_defect,mean_local_stencil_size,median_local_cond,median_local_sigma_min,median_namls_selection_score,method_id,min_local_sigma_min,n_boundary,n_core_interior,n_interior_eval,n_near_boundary_interior,n_points,namls_kernel,namls_kernel_beta,namls_max_neighbors,namls_min_neighbors,namls_neighbor_step,namls_regularization,namls_size_penalty,negative_lambda_fraction,operator,patch_const_max,patch_quad_max,patch_x2h_max,patch_x_max,patch_xy_max,patch_y2h_max,patch_y_max,rms,rms_core_interior,rms_interior,rms_near_boundary_interior,solve_seconds,status,total_seconds,trial,unstable,unstable_reasons
0.05118999599972085,0.0,0.0,0.0,annulus,4000,1.0,0.0,0.2,0.1633412268917931,nan,0.2232873748497258,0.2232873748497258,1.0,0.9815397398180701,nan,0.9815397398180701,0.9815397398180701,59,False,1.8893813258482854e-13,0.8899999999999999,4.508523264980282,2.4305322651324584e-08,18.959183673469386,2.839010862715558,0.5167321010456388,2512.270452480826,NAMLS-reconstructed-v1,0.34310155555777155,54,0,49,49,103,wendland_c2,3.0,26,14,4,1e-10,2.0,0.0,namls,2.4305325752038698e-08,7.3823152035856765e-09,7.398079482356934e-09,1.876962407720839e-08,6.866730357935058e-09,6.953417841515375e-09,1.8825866199279062e-08,0.20092896856914325,nan,0.29131518775629395,0.29131518775629395,0.00035004400024263305,ok,0.05154003999996348,0,False,
0.08349622499963516,0.0,0.0,0.0,annulus,4000,1.0,0.0,0.16,0.04810296199939404,nan,0.06097805394790767,0.06097805394790767,1.0,0.23257480421035331,nan,0.23257480421035331,0.23257480421035331,100,False,0.0760578966086903,-0.4313457777922659,4.5087456805377,3.9519997904115895e-08,17.467532467532468,2.772789330548506,0.5346069855680292,3596.495775918804,NAMLS-reconstructed-v1,0.3424805949077088,68,0,77,77,145,wendland_c2,3.0,26,14,4,1e-10,2.0,0.0,namls,3.9519998829007363e-08,1.3157624323412165e-08,1.3209491944721208e-08,3.288966099468382e-08,1.1337392657414729e-08,1.2346590416711933e-08,2.989759989796906e-08,0.047629554373938794,nan,0.06536046853518528,0.06536046853518528,0.0005147000001670676,ok,0.08401092499980223,0,False,
0.16950311699974918,0.0,0.0,0.0,annulus,4000,0.7572433162237002,0.0,0.12,0.026247019963828354,0.027519882125536868,0.03083849320707024,0.03218598626444718,1.0,0.10966267710855238,0.07136066777280137,0.10966267710855238,0.10966267710855238,120,False,0.8670956117226822,-0.34713272110811383,4.614127419724652,7.17163681042433e-08,17.25531914893617,2.654950471429245,0.5513124949818619,5400.24686705617,NAMLS-reconstructed-v1,0.3358507490138134,89,32,141,109,230,wendland_c2,3.0,26,14,4,1e-10,2.0,0.0,namls,7.171638009839665e-08,2.7157141868627832e-08,2.581900937492776e-08,5.988705442661058e-08,2.7355095948838892e-08,2.522769682045123e-08,5.908285749534059e-08,0.024842515853963586,0.02811766501440551,0.03172852896719486,0.03271300527817014,0.0007491810001738486,ok,0.17025229799992303,0,False,
0.23433709999972052,0.0,0.0,0.0,annulus,4000,0.5057454896724545,0.0,0.1,0.021325863687517134,0.0241494006803937,0.024468305777620956,0.024792496724380275,1.0,0.1510778291984618,0.06093587815673085,0.1510778291984618,0.1510778291984618,139,False,0.3485764073310538,-0.8783618166603095,4.531188368564621,1.0216386676832015e-07,16.94871794871795,2.548472715026829,0.5662992371626401,6691.8370110785945,NAMLS-reconstructed-v1,0.33723277648000266,107,80,195,115,302,wendland_c2,3.0,26,14,4,1e-10,2.0,0.0,namls,1.0216385337713518e-07,4.185233981601755e-08,3.7934905883219017e-08,8.432921205780985e-08,3.9130883644489245e-08,3.652326374670167e-08,8.440970944434412e-08,0.020705270014093363,0.023732964352277102,0.0257671902610085,0.027092368661424348,0.0017192350001096202,ok,0.23605633499983014,0,False,
0.4138282150001942,0.0,0.0,0.0,annulus,4000,0.25179364597579545,0.0,0.08,0.013228145940504704,0.01614273310794585,0.014721717634199155,0.012019725359848047,1.0,0.05827379723582489,0.043440004262693455,0.05827379723582489,0.05827379723582489,157,False,-0.9325108344057017,0.21061685554928533,4.872510257425495,1.5684108404347892e-07,16.868852459016395,2.4936251799193427,0.5738332370947894,9401.723400792967,NAMLS-reconstructed-v1,0.3160467844535115,134,160,305,145,439,wendland_c2,3.0,26,14,4,1e-10,2.0,0.0,namls,1.568411320818086e-07,6.580940414835368e-08,6.400071983492239e-08,1.4044369065630002e-07,6.371267480797395e-08,6.041378664001229e-08,1.3102758544825122e-07,0.012016017405312523,0.015875903283577894,0.014415937447669957,0.012610281300669586,0.0017706309999994119,ok,0.4155988460001936,0,False,
0.048524884000016755,0.0,0.0,0.0,annulus,4001,1.0,0.0,0.2,0.09525296246404122,nan,0.12937217765002082,0.12937217765002082,1.0,0.7291178214473404,nan,0.7291178214473404,0.7291178214473404,67,False,-0.5231288745404166,-0.7200251249936193,4.511880054403168,2.8240209477775208e-08,18.142857142857142,2.8125641073605747,0.5144578669369647,2696.634058023422,NAMLS-reconstructed-v1,0.343551303607132,54,0,49,49,103,wendland_c2,3.0,26,14,4,1e-10,2.0,0.0,namls,2.824021128056131e-08,8.968746634252511e-09,8.457183175991645e-09,2.1121050648026385e-08,8.757324370875508e-09,7.3872379324768644e-09,1.9406458884319022e-08,0.11196338653770378,nan,0.16232918131880883,0.16232918131880883,0.0003584730002330616,ok,0.048883357000249816,1,False,
0.08409193199986476,0.0,0.0,0.0,annulus,4001,1.0,0.0,0.16,0.056845594181252,nan,0.07209133778403416,0.07209133778403416,1.0,0.39207899716255645,nan,0.39207899716255645,0.39207899716255645,72,False,0.48867403702092704,0.7700270680577855,4.458899219692289,3.942686295075813e-08,17.526315789473685,2.833517173440982,0.5344172246930725,3285.3145523558064,NAMLS-reconstructed-v1,0.3443281457391827,68,0,76,76,144,wendland_c2,3.0,26,14,4,1e-10,2.0,0.0,namls,3.9426876902852484e-08,1.3781285890246409e-08,1.3714578361856411e-08,3.329717361902351e-08,1.1337625283047714e-08,1.3593690617597076e-08,3.314652305466049e-08,0.06223162802151231,nan,0.08566148767509037,0.08566148767509037,0.0004269200003363949,ok,0.08451885200020115,1,False,
0.15710954199994376,0.0,0.0,0.0,annulus,4001,0.5426640501604398,0.0,0.12,0.02851222855456509,0.037549210806907124,0.033455038476551666,0.0308795978486036,1.0,0.11490136586879773,0.08350178177292666,0.11490136586879773,0.11490136586879773,139,False,-0.38752101226680136,-0.16706724709443668,4.493123422843801,6.872027839890696e-08,17.180555555555557,2.619489675072501,0.5581219547051521,5401.361295901606,NAMLS-reconstructed-v1,0.3383917068754618,89,39,144,105,233,wendland_c2,3.0,26,14,4,1e-10,2.0,0.0,namls,6.872028636417671e-08,2.718922109679056e-08,2.3594391107550905e-08,5.477086240102125e-08,2.402039278592838e-08,2.63263382205281e-08,6.029365540172194e-08,0.025494580511534862,0.03785789970867083,0.032429823493495796,0.03016593077001788,0.0008209650000026159,ok,0.15793050699994637,1,False,
0.21518389900029433,0.0,0.0,0.0,annulus,4001,0.3703461295713065,0.0,0.1,0.023663758428554924,0.03098610610005025,0.027143620782151805,0.022977323975543168,1.0,0.10070410529109208,0.090067375562768,0.10070410529109208,0.10070410529109208,130,False,-0.821507611424556,-0.4670654577421069,4.680364204603729,1.0692015328147575e-07,16.927835051546392,2.554411542250583,0.5675632311727421,6621.635390813554,NAMLS-reconstructed-v1,0.32323244027472414,107,76,194,118,301,wendland_c2,3.0,26,14,4,1e-10,2.0,0.0,namls,1.0692019714042544e-07,4.4113789954280946e-08,4.3852651288034394e-08,9.733884098750423e-08,4.1445919279903265e-08,3.981953611287281e-08,8.936041240303894e-08,0.02129890667026309,0.03127992473413249,0.026530149259698203,0.022956427128103318,0.0015415079997183057,ok,0.21672540700001264,1,False,
0.4483520819999285,0.0,0.0,0.0,annulus,4001,0.26264897471935167,0.0,0.08,0.012179859826175938,0.014909381156230955,0.013566427355503298,0.01114037754786173,1.0,0.0438593230476052,0.04198498179570054,0.0438593230476052,0.0438593230476052,154,False,-0.78743476079865,0.5421091850220646,4.629125399966668,1.5372372127559482e-07,16.49514563106796,2.507282195785719,0.5723354157611676,9858.832184314282,NAMLS-reconstructed-v1,0.3273880431847495,134,158,309,151,443,wendland_c2,3.0,26,14,4,1e-10,2.0,0.0,namls,1.537237295835132e-07,6.591552859092076e-08,6.557878529100947e-08,1.4240783611351216e-07,6.201122851323682e-08,6.237068772563248e-08,1.361416158696116e-07,0.010966521351965202,0.014780591033931624,0.013130809839962626,0.011146111474740145,0.0020500400000855734,ok,0.45040212200001406,1,False,
