domain,frac_max_error_on_boundary,global_order_l2_core_interior_median,global_order_l2_median,global_order_l2_near_boundary_interior_median,global_order_l2_trimmed,global_order_linf_core_interior_median,global_order_linf_median,global_order_linf_near_boundary_interior_median,global_order_linf_trimmed,h_target,mean_added_edge_correction_rel_max,mean_added_edge_correction_rel_median,mean_added_edge_correction_rel_p90,mean_added_edge_fraction,mean_added_edge_negative_lambda_fraction,mean_boundary_edge_correction_rel_max,mean_boundary_edge_correction_rel_median,mean_boundary_edge_correction_rel_p90,mean_boundary_edge_negative_lambda_fraction,mean_constraint_resid_inf,mean_constraint_resid_l2,mean_core_edge_correction_rel_max,mean_core_edge_correction_rel_median,mean_core_edge_correction_rel_p90,mean_core_edge_negative_lambda_fraction,mean_correction_abs_max,mean_correction_abs_median,mean_correction_rel_l2,mean_correction_rel_max,mean_correction_rel_median,mean_correction_rel_p90,mean_frac_err2_near_boundary_interior,mean_l2,mean_l2_core_interior,mean_l2_interior,mean_l2_near_boundary_interior,mean_lambda_ratio_median,mean_linf,mean_linf_core_interior,mean_linf_interior,mean_linf_near_boundary_interior,mean_max_added_edges_on_flagged_node,mean_max_local_cond,mean_mean_added_edges_per_flagged_node,mean_min_local_sigma_min,mean_n_added_edges,mean_n_core_interior,mean_n_flagged_enrichment_nodes,mean_n_flagged_nodes_with_added_edges,mean_n_flagged_nodes_without_added_edges,mean_n_force_flagged_enrichment_nodes,mean_n_near_boundary_interior,mean_n_original_edges,mean_negative_lambda_fraction,mean_original_edge_correction_rel_max,mean_original_edge_correction_rel_median,mean_original_edge_correction_rel_p90,mean_original_edge_fraction,mean_original_edge_negative_lambda_fraction,mean_patch_const_max,mean_patch_quad_max,mean_patch_x2h_max,mean_patch_x_max,mean_patch_xy_max,mean_patch_y2h_max,mean_patch_y_max,mean_rms_core_interior,mean_rms_interior,mean_rms_near_boundary_interior,mean_selected_attempt_alpha,mean_selected_attempt_idx,mean_selected_attempt_max_neighbors,mean_selected_attempt_min_neighbors,median_added_edge_correction_rel_max,median_added_edge_correction_rel_median,median_added_edge_correction_rel_p90,median_added_edge_fraction,median_added_edge_negative_lambda_fraction,median_boundary_edge_correction_rel_max,median_boundary_edge_correction_rel_median,median_boundary_edge_correction_rel_p90,median_boundary_edge_negative_lambda_fraction,median_constraint_resid_inf,median_constraint_resid_l2,median_core_edge_correction_rel_max,median_core_edge_correction_rel_median,median_core_edge_correction_rel_p90,median_core_edge_negative_lambda_fraction,median_correction_abs_max,median_correction_abs_median,median_correction_rel_l2,median_correction_rel_max,median_correction_rel_median,median_correction_rel_p90,median_frac_err2_near_boundary_interior,median_l2,median_l2_core_interior,median_l2_interior,median_l2_near_boundary_interior,median_lambda_ratio_median,median_linf,median_linf_core_interior,median_linf_interior,median_linf_near_boundary_interior,median_max_added_edges_on_flagged_node,median_max_local_cond,median_mean_added_edges_per_flagged_node,median_min_local_sigma_min,median_n_added_edges,median_n_core_interior,median_n_flagged_enrichment_nodes,median_n_flagged_nodes_with_added_edges,median_n_flagged_nodes_without_added_edges,median_n_force_flagged_enrichment_nodes,median_n_near_boundary_interior,median_n_original_edges,median_negative_lambda_fraction,median_original_edge_correction_rel_max,median_original_edge_correction_rel_median,median_original_edge_correction_rel_p90,median_original_edge_fraction,median_original_edge_negative_lambda_fraction,median_patch_const_max,median_patch_quad_max,median_patch_x2h_max,median_patch_x_max,median_patch_xy_max,median_patch_y2h_max,median_patch_y_max,median_rms,median_rms_core_interior,median_rms_interior,median_rms_near_boundary_interior,median_selected_attempt_alpha,median_selected_attempt_idx,median_selected_attempt_max_neighbors,median_selected_attempt_min_neighbors,n_trials,n_unstable,operator,outlier_fraction,std_l2,std_linf,trimmed_l2,trimmed_linf
annulus,0.0,2.414365844858606,1.814696438076717,2.365274246302702,1.8184288013947372,1.3443475486454246,1.5670210914547544,1.9553547805208202,1.5935497089334085,0.08,0.3414715641609196,0.30001869533726494,0.3331809903961887,0.0003128314648226488,0.0,4.17445851608737,0.6163582876739453,2.0851945285104625,0.3666052891106844,1.4993989220796895e-11,1.209097920712912e-10,2.637430630863979,0.3418993464363588,1.5564260343419503,0.25986935966239294,0.3012054289228915,0.0506827902849946,0.5700690335392029,4.17445851608737,0.49537734202577977,1.8518988170185704,0.21872946886123285,0.037192964653537004,0.04672770647768999,0.04142021533170821,0.03115840563047321,0.7446731352225774,0.10742664491044833,0.10742664491044833,0.10742664491044833,0.07702093950545069,1.0,26.56696798143693,1.0,0.1586556950750519,2.0,159.5,2.0,2.0,0.0,2.0,147.0,6391.7,0.3234640584858761,4.17445851608737,0.4956624957199246,1.852054388891937,0.9996871685351774,0.3235652765147379,8.006484364386779e-13,3.1973635294946233e-09,2.33668382421115e-09,2.307041496729667e-09,3.00923305163181e-09,2.0674620238025908e-09,2.145470379133485e-09,0.046628781272638635,0.039650871222301,0.030300564090021503,2.3500000000000005,0.0,68.0,24.0,0.33766985537299476,0.2889934980789448,0.3249256742088204,0.00031233003473601635,0.0,4.118364414578619,0.6186831210019371,2.087937057758497,0.3661475447784013,1.4257699187947281e-11,1.230627827942645e-10,2.608776673001893,0.3431022588873357,1.5537868728025268,0.25911631430736026,0.29864677394979505,0.05079081858158106,0.5700726818556549,4.118364414578619,0.4967103830244173,1.8536015465486528,0.21984603233988145,0.03781416894141384,0.04724275286289703,0.04208771274539818,0.031079469517425795,0.7446163652261979,0.10954626540721477,0.10954626540721477,0.10954626540721477,0.0761456526051662,1.0,26.554558544097738,1.0,0.15861346453452324,2.0,159.0,2.0,2.0,0.0,2.0,147.0,6401.5,0.3241135079309603,4.118364414578619,0.49697985022772095,1.8536552193869522,0.9996876699652639,0.32421454864822025,8.100187187665142e-13,3.1165847680370007e-09,2.1562227559002167e-09,2.283548461434748e-09,2.9558094305492943e-09,1.9948900309429973e-09,2.1174404452040108e-09,0.033433958817505105,0.047049352142727346,0.040111614579389096,0.030466145946907934,2.35,0.0,68.0,24.0,10,0,ccpfm,0.0,0.00158502161296457,0.008566262729553149,0.037490520274135096,0.10818657587472162
annulus,0.0,2.414365844858606,1.814696438076717,2.365274246302702,1.8184288013947372,1.3443475486454246,1.5670210914547544,1.9553547805208202,1.5935497089334085,0.1,0.28319495362508906,0.2398374788294894,0.2745234586659691,0.0004597111205582471,0.0,4.500104762343419,0.5976933350238095,2.0988370890099013,0.36698847503843746,1.0057519660849889e-11,5.509289347696733e-11,2.759961312872937,0.29492450180851915,1.4289038712637638,0.21570874474260796,0.32014367697194895,0.047412626856026416,0.5608606616629551,4.500104762343419,0.4916473128917974,1.918908805081733,0.37025027015585915,0.05272894064395097,0.06837769563000405,0.06056314604294695,0.051753373143154736,0.7603458002996247,0.143781679893413,0.14363980000682797,0.143781679893413,0.11995900850227344,1.0,26.319043397095946,1.0,0.16105559994992785,2.0,77.3,2.0,2.0,0.0,2.0,116.4,4349.4,0.3216432754206378,4.500104762343419,0.49219968752986143,1.9192336477488374,0.9995402888794416,0.32179121681531064,4.2000847244594296e-13,1.6753877396524785e-09,1.0726500798696748e-09,1.1016818790565707e-09,1.3508129281802893e-09,1.1682711020810643e-09,1.183953379779723e-09,0.06854411415403694,0.05850150339214888,0.050708704208458896,2.3500000000000005,0.0,68.0,24.0,0.28318122434163817,0.24716287966219333,0.27439831287891436,0.0004617338658312142,0.0,4.640761620796215,0.5985747848040728,2.0981736117198913,0.3673964364488558,9.458202884088385e-12,5.5658278067031414e-11,2.7147263615394754,0.29315599333649667,1.4370088828299634,0.2175984290147401,0.31400954927624525,0.04717414594473446,0.5609445818996524,4.640761620796215,0.49211776088574405,1.919353281305718,0.37055219261337313,0.05274824436097104,0.06768123430687359,0.0606213500027684,0.05223024155836836,0.7576095083961982,0.14232334572971278,0.14232334572971278,0.14232334572971278,0.11888850443239343,1.0,26.24766203501374,1.0,0.1615919826620314,2.0,76.5,2.0,2.0,0.0,2.0,117.0,4329.5,0.3224276032680686,4.640761620796215,0.4925892897785291,1.9195289792009673,0.9995382661341687,0.322574785579679,4.1588954502458364e-13,1.642667335488568e-09,9.639332665400957e-10,1.0350907908573959e-09,1.3876978455229505e-09,1.1049070547386464e-09,1.1701537516728422e-09,0.047055111705268333,0.06729435952983934,0.05863905429233565,0.05111878206570741,2.35,0.0,68.0,24.0,10,0,ccpfm,0.0,0.003402679687900103,0.01599718246272336,0.05278824102614951,0.1421633455932472
annulus,0.0,2.414365844858606,1.814696438076717,2.365274246302702,1.8184288013947372,1.3443475486454246,1.5670210914547544,1.9553547805208202,1.5935497089334085,0.12,0.24595649602826467,0.2219734752062612,0.24115989186386394,0.0004808617002885861,0.0,5.2578946648344225,0.6417896685772024,2.1826349126445392,0.3618871709349506,5.43110860104501e-12,3.41853797777678e-11,2.244837664798049,0.09890907704854113,0.8667460316493386,0.07096435110864278,0.237786324914883,0.03781408177943357,0.5449451539095196,5.2578946648344225,0.5065751371465583,2.0414047345462194,0.5606609031616758,0.10831648150754894,0.14549668001196409,0.12744675016698787,0.11716301543779253,0.7774666733009639,0.24787612495710093,0.24532998501778058,0.24787612495710093,0.22856589081778717,1.0,22.031041416494354,1.0,0.20397753457977763,2.0,34.8,2.0,2.0,0.0,2.0,104.8,4157.8,0.31049137054707115,5.2578946648344225,0.5071002145012616,2.0418750905752265,0.9995191382997115,0.3106407438191337,3.638811474360182e-13,8.104739102066105e-10,7.025801496141071e-10,6.348793046839774e-10,6.283018327835066e-10,7.248398770087761e-10,6.264936736055659e-10,0.14645467121770803,0.11744542147638123,0.10602290258600192,2.75,2.0,96.0,32.0,0.23516574324438463,0.225384321869473,0.23048551718480115,0.0004805382305282289,0.0,5.145900554610827,0.640713163344109,2.1834591211036516,0.36212841105707005,5.5466464754516664e-12,3.3971457956674356e-11,2.181311331824867,0.09795473459934956,0.8711427360596227,0.0708076792963464,0.23316066731649004,0.037844859407641505,0.5453769904473291,5.145900554610827,0.507392858202154,2.043484990119961,0.5679772320800243,0.10787067373406045,0.14472806658516374,0.1268788362378423,0.11702141131915719,0.7749641313197851,0.2477652865162721,0.2464618170201417,0.2477652865162721,0.22750847486864606,1.0,21.990756790077523,1.0,0.20449999881900183,2.0,34.0,2.0,2.0,0.0,2.0,105.5,4160.0,0.3103083534595535,5.145900554610827,0.5083822448443267,2.044403761308364,0.9995194617694718,0.310455495386926,3.6060043839825084e-13,8.141460838828607e-10,6.895484183644385e-10,6.323315204781466e-10,6.178462186312572e-10,7.24714177557928e-10,6.299409882615237e-10,0.09145933664481148,0.14675043131409932,0.11690268664982303,0.10593361097111537,2.75,2.0,96.0,32.0,10,0,ccpfm,0.0,0.0040093651791082135,0.014609122060805856,0.10845353427901895,0.2474531583584539
annulus,0.0,2.414365844858606,1.814696438076717,2.365274246302702,1.8184288013947372,1.3443475486454246,1.5670210914547544,1.9553547805208202,1.5935497089334085,0.16,0.07637135065849644,0.05542124015255094,0.07218132855730734,0.0009421191168108598,0.0,6.791878889639355,0.45137862101719206,1.6038771810938897,0.23720468620319196,2.351356956364903e-12,1.4225381749753308e-11,2.682040329120426,0.024730869117933457,0.3349862718296075,0.03204023265213494,0.30823961226936664,0.031026697847902785,0.5068365547847683,6.791878889639355,0.3813191555260925,1.5267040246712729,0.9311462678260366,0.13451014752183382,0.2298510283629898,0.17095666430828832,0.1682165400483683,0.7827122577286648,0.31638519424998857,0.2741904427431153,0.31638519424998857,0.31638519424998857,1.0,31.62381841520376,1.0,0.15606374130791797,2.0,2.0,2.0,2.0,0.0,2.0,73.3,2130.6,0.2187161864237094,6.791878889639355,0.3823940144182752,1.527765477792412,0.9990578808831891,0.2189220559516359,1.892763723532198e-13,2.344665128717338e-10,1.6488019838334367e-10,1.4412521731621553e-10,1.5436006483432462e-10,1.6038161909648351e-10,1.4092625105072143e-10,0.23132529123052403,0.1554833699614871,0.1529701044408565,2.5300000000000002,0.9,79.6,27.6,0.05617360513821257,0.05122729332096512,0.054775343826266004,0.0009285069078715531,0.0,6.701979958552262,0.4477822867780478,1.614909738673369,0.2365525822523884,2.2799297172415578e-12,1.4405681872935982e-11,2.999352598766133,0.02523391259942661,0.32275157865927817,0.03568796068796069,0.3062946271033199,0.031040042143549575,0.5065577524756547,6.701979958552262,0.3824067622131079,1.5340237555983658,0.9376914203995883,0.13557290357783452,0.2319916180943133,0.17233091037087528,0.169968453461177,0.7864789004221207,0.30724659571859037,0.26031537391958964,0.30724659571859037,0.30724659571859037,1.0,31.53294395177518,1.0,0.15612868447170952,2.0,2.0,2.0,2.0,0.0,2.0,73.5,2152.0,0.21945906321069653,6.701979958552262,0.3837751879095699,1.5345834798091198,0.9990714930921285,0.21966674573585818,1.9202694989672864e-13,2.5091706490343313e-10,1.7266166274509942e-10,1.4769863110331016e-10,1.6207757358444042e-10,1.5980089473899284e-10,1.3912360152801284e-10,0.11380728832043178,0.22779024801800202,0.1570675448664824,0.1542039460238765,2.55,1.0,80.0,28.0,10,0,ccpfm,0.0,0.016816026318603867,0.05422058931636676,0.13345439433149062,0.3152493705278956
annulus,0.0,2.414365844858606,1.814696438076717,2.365274246302702,1.8184288013947372,1.3443475486454246,1.5670210914547544,1.9553547805208202,1.5935497089334085,0.2,0.05497643001997386,0.042218834640517316,0.05242491094408256,0.0012760560119485754,0.0,6.178389882704685,0.29678235387123336,2.070904858885535,0.2555285802180532,1.999729028201447e-12,1.0727304027504071e-11,2.7723315244453053,0.030315073839832847,0.8807805455080121,0.08809264748098804,0.2007034020683227,0.021290744182337944,0.44711978715050266,6.178389882704685,0.2642229664810015,2.049564002475874,1.0,0.1963906456442456,nan,0.26863446429198085,0.26863446429198085,0.9185023111478241,0.4613421518859311,nan,0.4613421518859311,0.4613421518859311,1.0,29.261072304410895,1.0,0.1861822123899751,2.0,0.0,2.0,2.0,0.0,2.0,48.4,1576.6,0.2470958074865468,6.178389882704685,0.26590215121847455,2.0507186808368916,0.9987239439880515,0.24741082710693582,1.0009770790020412e-13,1.7254166984059793e-10,1.4945579218661465e-10,9.366694156409672e-11,9.744992451876655e-11,1.6582634154715946e-10,1.0233768554801515e-10,nan,0.24277639426981343,0.24277639426981343,2.63,1.4,86.8,29.6,0.032737196691094816,0.030080119850085192,0.03220578132289289,0.0012661888434782886,0.0,6.115809090752767,0.29614939919260747,2.0691315984436693,0.256705586552622,2.027166629003929e-12,1.083284311986891e-11,2.8730735140434995,0.024579702959124733,0.634986768941911,0.08281733746130031,0.19075766475285078,0.02101095033958543,0.4502366248933354,6.115809090752767,0.2609403250576908,2.0514181615006706,1.0,0.19619371220529652,nan,0.2708146048336021,0.2708146048336021,0.922853564750411,0.46178053057481017,nan,0.46178053057481017,0.46178053057481017,1.0,28.959268314148787,1.0,0.1885339004388235,2.0,0.0,2.0,2.0,0.0,2.0,49.0,1583.0,0.24623287671232877,6.115809090752767,0.2643565980706561,2.0517152896394886,0.9987338111565217,0.24657064471879286,9.015010959956271e-14,1.7259071949382587e-10,1.4569251360896374e-10,9.4523004007252e-11,9.700773517806738e-11,1.642816438440775e-10,1.015114936553374e-10,0.1677124568156524,nan,0.2434292629688169,0.2434292629688169,2.65,1.5,88.0,30.0,10,0,ccpfm,0.0,0.009466256985948886,0.019342417841907426,0.19720271966882785,0.4636720748001774
annulus,0.0,1.7632455281242827,2.986493734808618,3.304761979874912,2.974847454975461,0.35007405387703927,3.1278670678378746,3.2271904385266925,3.1337743475015643,0.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.30258781665260875,0.04779330452848573,0.056720485623814265,0.05322525007103196,0.0470124286714441,1.0,0.1920872850494942,0.18806716400480447,0.1920872850494942,0.1674145555842282,nan,328.0350808016582,nan,0.007954856081364559,nan,159.5,nan,nan,nan,nan,147.0,nan,0.0,nan,nan,nan,nan,nan,1.3247181129827368e-13,6.16395823271887e-14,4.6473935810809055e-14,9.486855745421963e-14,4.9885096053969845e-14,4.8760995241536874e-14,1.0114131754335176e-13,0.057142444798357984,0.05373596383907055,0.04969914667702539,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.2990717820558746,0.047952941428904244,0.05658952384896701,0.05342056751657864,0.04655605356584538,1.0,0.1953271699945484,0.18615396568406295,0.1953271699945484,0.17355994490368254,nan,322.5218170221077,nan,0.008081361061230957,nan,159.0,nan,nan,nan,nan,147.0,nan,0.0,nan,nan,nan,nan,nan,1.3145040611561853e-13,6.17284001691587e-14,4.5852210917018965e-14,9.442446824436956e-14,4.973799150320701e-14,5.0737192225369654e-14,1.0191847366058937e-13,0.04462773965950949,0.05686664713834897,0.05351455220172886,0.04849240655139812,nan,nan,nan,nan,10,0,wls,0.0,0.00252394048760309,0.030840623394207563,0.04817064947142715,0.1924790633829806
annulus,0.0,1.7632455281242827,2.986493734808618,3.304761979874912,2.974847454975461,0.35007405387703927,3.1278670678378746,3.2271904385266925,3.1337743475015643,0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.5325215559238111,0.08473220189588687,0.09469688529387414,0.09731573820358133,0.09978102077823303,1.0,0.32349074001780376,0.2884721599450265,0.32349074001780376,0.31412937122740303,nan,202.90348101037628,nan,0.012773621089260357,nan,77.3,nan,nan,nan,nan,116.4,nan,0.0,nan,nan,nan,nan,nan,7.247535904753021e-14,3.3861802251067274e-14,2.6145752229922437e-14,5.694889004814741e-14,2.8391178297226815e-14,2.9976021664879227e-14,5.844214001626824e-14,0.09562846669307083,0.10231123891091096,0.10645453830457255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.5379109844768184,0.0840883765887542,0.09140898744378714,0.09656218298809,0.10142408985695657,1.0,0.3120142931260741,0.27767428128761606,0.3120142931260741,0.3120142931260741,nan,201.12363630917974,nan,0.012935672211756826,nan,76.5,nan,nan,nan,nan,117.0,nan,0.0,nan,nan,nan,nan,nan,7.105427357601002e-14,3.341771304121721e-14,2.353672812205332e-14,5.4817261840867104e-14,2.7533531010703882e-14,3.097522238704187e-14,5.5289106626332796e-14,0.08206514453451866,0.09079137481359047,0.10226715939131929,0.10735165660097536,nan,nan,nan,nan,10,1,wls,0.1,0.004904262552795579,0.054212661466552244,0.08475810254775058,0.31490507154226133
annulus,0.0,1.7632455281242827,2.986493734808618,3.304761979874912,2.974847454975461,0.35007405387703927,3.1278670678378746,3.2271904385266925,3.1337743475015643,0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.7594535780181465,0.1396333604792374,0.13672787313273638,0.16428216113430008,0.17624654929840494,1.0,0.623418462830868,0.3459746177743369,0.623418462830868,0.623418462830868,nan,149.32269274543606,nan,0.017308624840555432,nan,34.8,nan,nan,nan,nan,104.8,nan,0.0,nan,nan,nan,nan,nan,5.3868021154812594e-14,2.4291679778798426e-14,1.7497114868092466e-14,3.9168668308775524e-14,2.2006008126851385e-14,1.7219559111936177e-14,3.914646384828302e-14,0.1383105538081345,0.18740231103216348,0.20058746591186222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.7517113605153825,0.13613851109062075,0.13504141916327872,0.16020092006002562,0.173619277101906,1.0,0.5742496197798159,0.34768254173210383,0.5742496197798159,0.5742496197798159,nan,148.11651251276172,nan,0.01747916589546898,nan,34.0,nan,nan,nan,nan,105.5,nan,0.0,nan,nan,nan,nan,nan,5.218048215738236e-14,2.55351295663786e-14,1.609823385706477e-14,3.907985046680551e-14,2.14064876935538e-14,1.6264767310758543e-14,4.0745185003743245e-14,0.14657625795289236,0.13705529932704696,0.18823376419581117,0.1998307432699996,nan,nan,nan,nan,10,0,wls,0.0,0.014851994112960941,0.18324937362119523,0.13805905020226192,0.5799492459219783
annulus,0.0,1.7632455281242827,2.986493734808618,3.304761979874912,2.974847454975461,0.35007405387703927,3.1278670678378746,3.2271904385266925,3.1337743475015643,0.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.9927086504295506,0.482268195263841,0.21998127104159074,0.6130383962293097,0.624366130166982,1.0,2.6784873333089836,0.28107047972786575,2.6784873333089836,2.6784873333089836,nan,79.05593936772405,nan,0.03319592259385777,nan,2.0,nan,nan,nan,nan,73.3,nan,0.0,nan,nan,nan,nan,nan,2.854383396311278e-14,1.4876988529977098e-14,9.692247004977616e-15,2.2293278334473145e-14,1.3503087537003466e-14,1.056932319443149e-14,2.533528942194607e-14,0.21491332799934995,0.7362929144939797,0.7454810978671513,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.9979246807444626,0.4811843700048005,0.190842093796504,0.61448542020514,0.6223800083630567,1.0,2.644199849973295,0.23616885256732373,2.644199849973295,2.644199849973295,nan,79.44359780513116,nan,0.03316731158309302,nan,2.0,nan,nan,nan,nan,73.5,nan,0.0,nan,nan,nan,nan,nan,2.758904216193514e-14,1.3766765505351941e-14,1.0103029524088925e-14,2.1538326677728037e-14,1.2725931419765857e-14,9.381384558082573e-15,2.120525977034049e-14,0.5328758620052301,0.18780968960358108,0.7370957145012172,0.7442730057715847,nan,nan,nan,nan,10,0,wls,0.0,0.07956433435739671,0.554562396502546,0.47052232413700873,2.6625401537750357
annulus,0.0,1.7632455281242827,2.986493734808618,3.304761979874912,2.974847454975461,0.35007405387703927,3.1278670678378746,3.2271904385266925,3.1337743475015643,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,0.6343920176905177,nan,0.8683307307576318,0.8683307307576318,1.0,2.4707803843576217,nan,2.4707803843576217,2.4707803843576217,nan,47.61322764092788,nan,0.053098444467170824,nan,0.0,nan,nan,nan,nan,48.4,nan,0.0,nan,nan,nan,nan,nan,1.79134485023269e-14,9.392486788328824e-15,7.94919685631612e-15,1.2678746941219288e-14,1.0645824499722067e-14,7.982503547054876e-15,1.3371248552829229e-14,nan,0.9496811061557251,0.9496811061557251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,0.6126959032813931,nan,0.8355248096627379,0.8355248096627379,1.0,2.4031725372652297,nan,2.4031725372652297,2.4031725372652297,nan,47.2503716736923,nan,0.05340204530973555,nan,0.0,nan,nan,nan,nan,49.0,nan,0.0,nan,nan,nan,nan,nan,1.7930101847696278e-14,9.325873406851315e-15,7.438494264988549e-15,1.2323475573339238e-14,1.0658141036401503e-14,7.327471962526033e-15,1.3211653993039363e-14,0.6458370168562437,nan,0.9339159763099794,0.9339159763099794,nan,nan,nan,nan,10,1,wls,0.1,0.06854283554846594,0.669582746670264,0.6175508778875278,2.3896730028276987
