added_edge_correction_rel_max,added_edge_correction_rel_median,added_edge_correction_rel_p90,added_edge_fraction,added_edge_negative_lambda_fraction,assembly_seconds,boundary_edge_correction_rel_max,boundary_edge_correction_rel_median,boundary_edge_correction_rel_p90,boundary_edge_negative_lambda_fraction,boundary_split_factor,constraint_resid_inf,constraint_resid_l2,core_edge_correction_rel_max,core_edge_correction_rel_median,core_edge_correction_rel_p90,core_edge_negative_lambda_fraction,correction_abs_max,correction_abs_median,correction_rel_l2,correction_rel_max,correction_rel_median,correction_rel_p90,domain,family_seed,frac_err2_near_boundary_interior,frac_max_error_on_boundary,h_target,l2,l2_core_interior,l2_interior,l2_near_boundary_interior,lambda_ratio_median,linf,linf_core_interior,linf_interior,linf_near_boundary_interior,max_added_edges_on_flagged_node,max_error_dist_boundary,max_error_idx,max_error_is_boundary,max_error_local_cond,max_error_local_sigma_min,max_error_region,max_error_x,max_error_y,max_local_cond,max_local_size,mean_added_edges_per_flagged_node,median_dist_boundary,median_local_cond,median_radius,min_local_sigma_min,n_added_edges,n_boundary,n_core_interior,n_edges,n_flagged_enrichment_nodes,n_flagged_nodes_with_added_edges,n_flagged_nodes_without_added_edges,n_force_flagged_enrichment_nodes,n_interior,n_interior_eval,n_near_boundary_interior,n_original_edges,n_points,negative_lambda_fraction,operator,original_edge_correction_rel_max,original_edge_correction_rel_median,original_edge_correction_rel_p90,original_edge_fraction,original_edge_negative_lambda_fraction,patch_const_max,patch_quad_max,patch_x2h_max,patch_x_max,patch_xy_max,patch_y2h_max,patch_y_max,rms,rms_core_interior,rms_interior,rms_near_boundary_interior,selected_attempt_alpha,selected_attempt_idx,selected_attempt_max_neighbors,selected_attempt_min_neighbors,solve_seconds,status,total_seconds,trial,unstable,unstable_reasons
,,,,,0.26845536699693184,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1000,0.5490719678209994,0.0,0.2,1.145036380892681,1.2966510915071563,1.3684712527113092,1.4373115966413048,1.0,6.126940708067762,3.8477727289879438,6.126940708067762,6.126940708067762,,0.11000000000000003,57,False,38.63714863268215,0.07340979986665323,near_boundary_interior,0.5231288745402516,-0.720025124993739,52.651915643726696,23,,0.32174946036968216,30.383796984964896,0.08159745955696332,0.048779527667489164,,40,22,0,,,,,57,57,35,,97,0.0,wls,,,,,,1.5987211554602254e-14,7.105427357601002e-15,9.325873406851315e-15,1.7319479184152442e-14,2.3037127760971998e-14,6.217248937900877e-15,1.2989609388114332e-14,1.1526456524655004,1.3501561671129283,1.5036413346969106,1.5925643934168516,,,,,0.0043788129987660795,ok,0.2728341799956979,0,False,
,,,,,0.3383951449941378,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1000,0.6032154025760734,0.0,0.16,0.40192769893733965,0.3661522639344739,0.46325974270343057,0.5956720663606789,1.0,1.7592124653268146,0.8454662971458141,1.7592124653268146,1.7592124653268146,,0.088,54,False,65.12262964504438,0.04224772682999539,near_boundary_interior,0.48867403702092704,0.7700270680577855,77.18167675829748,23,,0.3239967360095416,44.226001059108405,0.06530214031049061,0.033864049320889614,,50,47,0,,,,,91,91,44,,141,0.0,wls,,,,,,2.930988785010413e-14,1.2434497875801753e-14,1.1324274851176597e-14,2.0872192862952943e-14,1.2656542480726785e-14,9.325873406851315e-15,2.1094237467877974e-14,0.44923334262905606,0.36977994638656786,0.5591918624748285,0.7075669779258686,,,,,0.0006552340055350214,ok,0.33905037899967283,0,False,
,,,,,0.18790011999954004,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1000,0.30858159141423813,0.0,0.12,0.14475261164421052,0.15712160631827096,0.16073327703165555,0.1698237526858614,1.0,0.5322659191606627,0.5322659191606627,0.5322659191606627,0.47024079145784675,,0.575960170772642,221,False,64.99006433215872,0.03828600970933338,interior_core,-0.4054115994167333,0.12449378524210894,136.18721277072123,23,,0.32082623899535867,72.47877390453817,0.05789227309425775,0.019638345394354644,,66,99,0,,,,,158,158,59,,224,0.0,wls,,,,,,7.149836278586008e-14,3.197442310920451e-14,1.3322676295501878e-14,2.7533531010703882e-14,1.7763568394002505e-14,2.731148640577885e-14,6.217248937900877e-14,0.14722483132397834,0.15680461857256572,0.1752978264012014,0.20257045907546578,,,,,0.0011530960036907345,ok,0.18905321600323077,0,False,
0.29926458972380343,0.2909846765108185,0.29760860708120646,0.0011862396204033216,0.0,0.5486539709963836,4.561932108982392,0.8196943425042714,2.0306123609416207,0.41451990632318503,2.0,1.5122347818419257e-12,8.955341488718087e-12,2.5331219855019205,0.2319866438479336,1.6938576426837644,0.23703703703703705,0.27336034121114244,0.04828404771148999,0.5696097005752889,4.561932108982392,0.6512526829120182,1.9511363051327564,circle,1000,0.4948905246905442,0.0,0.2,0.1863449906731085,0.22333701510300613,0.22270712710813578,0.22206969698432857,0.7225320988728192,0.4393471137191618,0.4145547612780343,0.4393471137191618,0.4393471137191618,1,0.3924317864593679,95,False,9.712012239717248,0.30150228640841614,near_boundary_interior,-0.46684573222716197,0.39563548158246975,26.222470236834376,57,1.0,0.32174946036968216,10.77351722341827,0.08159745955696332,0.18574827703774016,2,40,22,1686,2,2,0,2,57,57,35,1684,97,0.3718861209964413,ccpfm,4.561932108982392,0.6533324386088442,1.951629575644508,0.9988137603795967,0.37232779097387175,8.215650382226158e-14,7.420641878752576e-11,8.310341303996438e-11,3.3330060933423056e-11,6.509744132632278e-11,6.138434205382737e-11,3.5283775901007175e-11,0.1575920253474093,0.2278069539478458,0.20558085897787248,0.1902860045958371,2.75,2,96,32,0.0003519440069794655,ok,0.549005915003363,0,False,
0.2732807014609114,0.19628126381702565,0.25788081393213425,0.0009847365829640572,0.0,0.6349155040079495,5.510549882771775,0.6735099782300036,1.830920213107693,0.35590669676448455,2.0,2.4845125956574066e-12,1.4701446176782016e-11,3.2436237767060025,0.28226138309134124,1.6395016823358244,0.2621082621082621,0.3859370198512881,0.04786284764312912,0.5662429124332887,5.510549882771775,0.5390084115865196,1.7591639727028399,circle,1000,0.3006630324535442,0.0,0.16,0.10118605794166267,0.1223771413717622,0.11662651589119995,0.10587264916372804,0.6815296378168693,0.25492419369255115,0.25492419369255115,0.25492419369255115,0.21309875517873633,1,0.4939228533185625,120,False,9.221245197375776,0.2895603704617603,interior_core,-0.3315633793309384,-0.38268715800938957,24.320428699575533,46,1.0,0.3239967360095416,9.643853526655809,0.06530214031049061,0.17309570925840156,2,50,47,2031,2,2,0,2,91,91,44,2029,141,0.32348596750369274,ccpfm,5.510549882771775,0.5399423831820621,1.7601110875807526,0.999015263417036,0.32380482996550025,1.9273471707492718e-13,1.577418196063718e-10,7.426681492006537e-11,8.828948683259341e-11,1.5218565036639875e-10,8.851763766415388e-11,1.0544097539533226e-10,0.08885598413384689,0.12214002596797942,0.11060519900204291,0.0967770017370134,2.35,0,68,24,0.0005842539976583794,ok,0.6354997580056079,0,False,
,,,,,0.20102990399755072,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1000,0.3397029841168557,0.0,0.1,0.09105747258572863,0.09454226196112309,0.09936092570494348,0.11131094979143255,1.0,0.38556468392501814,0.28622020490936506,0.38556468392501814,0.38556468392501814,,0.054999999999999986,116,False,170.4492765952645,0.016061693784254597,near_boundary_interior,0.8712576690821211,-0.3659712356965786,195.76808038334391,23,,0.3224209933451369,102.54923200860956,0.04854809641553886,0.013143124023267047,,79,146,0,,,,,225,225,79,,304,0.0,wls,,,,,,9.547918011776346e-14,4.3520742565306136e-14,4.0190073491430667e-14,8.060219158778636e-14,2.7033930649622562e-14,2.5757174171303632e-14,5.3290705182007514e-14,0.09169262663826237,0.09496465707736457,0.10658103823573102,0.12524516289042606,,,,,0.00189954400411807,ok,0.2029294480016688,0,False,
,,,,,0.3318231089942856,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1000,0.1763975998200887,0.0,0.08,0.05153785532935537,0.05580030065922624,0.05511929965813384,0.05224007525843166,1.0,0.1794465059388498,0.1794465059388498,0.1794465059388498,0.1686804244360075,,0.16335813355984102,157,False,167.27512088870165,0.014119343839295542,interior_core,0.5016593599356639,-0.6712591188787685,328.82683642684896,23,,0.29311453088231976,155.26542772440627,0.03928389887850495,0.008069871380996033,,99,253,0,,,,,351,351,98,,450,0.0,wls,,,,,,1.5631940186722204e-13,7.061018436615996e-14,3.68594044175552e-14,6.750155989720952e-14,6.356026815979021e-14,5.417888360170764e-14,1.1723955140041653e-13,0.04919405897055627,0.056112800944492565,0.05570130318871581,0.054624637518134705,,,,,0.0024896460090531036,ok,0.3343127550033387,0,False,
0.27421711867354825,0.27246260028097746,0.2738662149950341,0.000628140703517588,0.0,0.6477881330065429,5.850822573440924,0.6954024270040274,1.8614439495608182,0.3600471420153212,2.0,1.4298409678481505e-11,1.0038536788549534e-10,2.69733417540353,0.34622353322763705,1.6830845426929901,0.2878278412911903,0.30085323045014234,0.05313646903779684,0.5787684127557451,5.850822573440924,0.5414840879087077,1.764638375075398,circle,1000,0.18964013842809269,0.0,0.12,0.06775590410716363,0.0796205436773292,0.07523614518372387,0.06231596069726938,0.7041923902849924,0.19204846701123102,0.19204846701123102,0.19204846701123102,0.12775681301449926,1,0.3428501846570941,116,False,8.855131357280436,0.2997806286970622,interior_core,0.43221979478378997,0.49502504768580013,25.294643975491436,45,1.0,0.32082623899535867,9.506390960507836,0.05789227309425775,0.16762508094855283,2,66,99,3184,2,2,0,2,158,158,59,3182,224,0.3263190954773869,ccpfm,5.850822573440924,0.5424435861793103,1.764766514482154,0.9993718592964824,0.3265241986172219,3.5083047578154947e-13,1.812773930964795e-09,1.5157719523983815e-09,1.1837737456943387e-09,1.5786281171159544e-09,1.5233680983328668e-09,1.2042453700900069e-09,0.061098481609191485,0.07909028527380775,0.07274880824238139,0.060635815989770636,2.35,0,68,24,0.0018114970007445663,ok,0.6495996300072875,0,False,
,,,,,0.05904116199235432,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1001,0.5329872039399758,0.0,0.2,0.9206674158220691,1.0965799093254234,1.1040935058413575,1.110805584836244,1.0,2.914977844324512,2.515793858293301,2.914977844324512,2.914977844324512,,0.10999999999999999,55,False,34.506448235421765,0.08141818080455004,near_boundary_interior,-1.0225344626630001e-13,-0.89,46.3892214744399,23,,0.3330876172749911,27.849182676900753,0.08159745955696322,0.05866781704033004,,40,21,0,,,,,56,56,35,,96,0.0,wls,,,,,,1.7985612998927536e-14,8.659739592076221e-15,6.439293542825908e-15,1.0325074129013956e-14,2.1087298573974067e-14,4.884981308350689e-15,1.1102230246251565e-14,0.8953557903645573,1.1030726039434622,1.172295909503599,1.2119335036873213,,,,,0.00038663500163238496,ok,0.0594277969939867,1,False,
,,,,,0.0985719480086118,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1001,0.546587772830955,0.0,0.16,0.41847007630483973,0.4328585132155632,0.4814638425596602,0.5372043492418092,1.0,2.4325791891661277,0.8296544140968822,2.4325791891661277,2.4325791891661277,,0.088,54,False,62.431906411807,0.04367491176458872,near_boundary_interior,0.48867403702092704,0.7700270680577855,80.17531392881324,23,,0.3001388866411137,43.461626445696886,0.06530214031049061,0.03216877861952884,,50,41,0,,,,,89,89,48,,139,0.0,wls,,,,,,2.3314683517128287e-14,1.2878587085651816e-14,4.884981308350689e-15,1.4876988529977098e-14,1.5279444376403717e-14,7.549516567451064e-15,1.6209256159527285e-14,0.468728739224676,0.43142509206834356,0.5857792438574704,0.6908326753037646,,,,,0.0004492779989959672,ok,0.09902122600760777,1,False,
