added_edge_correction_rel_max,added_edge_correction_rel_median,added_edge_correction_rel_p90,added_edge_fraction,added_edge_negative_lambda_fraction,assembly_seconds,boundary_band_live,boundary_edge_correction_rel_max,boundary_edge_correction_rel_median,boundary_edge_correction_rel_p90,boundary_edge_fraction,boundary_edge_negative_lambda_fraction,cloud_seconds,cls_regularization,comparator_id,condition_estimate,constraint_resid_inf,constraint_resid_l2,core_edge_correction_rel_max,core_edge_correction_rel_median,core_edge_correction_rel_p90,core_edge_fraction,core_edge_negative_lambda_fraction,correction_abs_max,correction_abs_median,correction_rel_l2,correction_rel_max,correction_rel_median,correction_rel_p90,domain,effective_weight_added_edge_median,effective_weight_added_edge_p90,effective_weight_boundary_edge_median,effective_weight_boundary_edge_p90,effective_weight_core_edge_median,effective_weight_core_edge_p90,effective_weight_median,effective_weight_original_boundary_edge_median,effective_weight_original_boundary_edge_p90,effective_weight_original_core_edge_median,effective_weight_original_core_edge_p90,effective_weight_original_edge_median,effective_weight_original_edge_p90,effective_weight_p90,h,l2,lambda_ratio_median,linf,max_local_cond,max_reproduction_defect,median_local_cond,median_local_sigma_min,median_selected_neighbors,method,n_added_edges,n_edges,n_points,negative_lambda_fraction,original_boundary_edge_correction_rel_max,original_boundary_edge_correction_rel_median,original_boundary_edge_correction_rel_p90,original_boundary_edge_fraction,original_boundary_edge_negative_lambda_fraction,original_core_edge_correction_rel_max,original_core_edge_correction_rel_median,original_core_edge_correction_rel_p90,original_core_edge_fraction,original_core_edge_negative_lambda_fraction,original_edge_correction_rel_max,original_edge_correction_rel_median,original_edge_correction_rel_p90,original_edge_fraction,original_edge_negative_lambda_fraction,problem,protected_interface_nodes,seed,solve_seconds,total_seconds,trial,unstable
,,,,,0.07026597300000503,,,,,,,0.06616044800000509,1e-12,CLS-GFD-type-v1,50.419950467376815,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.16,0.2683043181848472,,1.0484553050718426,1092.0166344898098,1.3380550001329539e-09,243.5514638568522,0.01803797586216311,26.0,cls_gfd,,,135,,,,,,,,,,,,,,,,,smooth_variable,,8100,0.00048336799997628077,0.1369097889999864,0,False
nan,nan,nan,0.0,nan,0.1053105840000228,0.0,3.7317496528811605,0.6374305441602577,2.126276016096847,0.7162162162162162,0.37971698113207547,0.09020826099998658,,,128.1219749819599,4.05744976630822e-11,1.9939646340158669e-10,2.9442549214624765,0.28180059966169024,1.833375286131044,0.28378378378378377,0.2619047619047619,0.8810496229405473,0.14259550891191453,0.6107960298358283,3.7317496528811605,0.5228015754376016,2.039463724786359,circle,nan,nan,3.3337838755088915,14.115252416119711,4.526516822640221,19.27885430755358,3.7394836276408583,3.3337838755088915,14.115252416119711,4.526516822640221,19.27885430755358,3.7394836276408583,17.328147571862,17.328147571862,0.2,0.28041165655038364,0.7833579366291683,0.5206747119744533,24.82383817502041,,9.912977839464894,,,ccpfm_flux,0,1184,97,0.34628378378378377,3.7317496528811605,0.6374305441602577,2.126276016096847,0.7162162162162162,0.37971698113207547,2.9442549214624765,0.28180059966169024,1.833375286131044,0.28378378378378377,0.2619047619047619,3.7317496528811605,0.5228015754376016,2.039463724786359,1.0,0.34628378378378377,smooth_variable,0,8100,0.0002657549999867115,0.1957845999999961,0,False
nan,nan,nan,0.0,nan,0.05695625200002041,0.0,4.976608779347137,0.6674464891319879,2.124600479807007,0.6343195266272189,0.37779850746268656,0.06232388199998695,,,202.53721482272823,1.0345943719791695e-10,5.869719138117183e-10,3.485435154987582,0.2633433783163791,1.828839176763402,0.3656804733727811,0.2783171521035599,0.9512002410223894,0.1348871215410486,0.6263661933529288,4.976608779347137,0.5113043039656523,2.0120705269266894,circle,nan,nan,4.859975517113807,20.760797407548438,6.269277908229595,28.094636327381902,5.5215349424302085,4.859975517113807,20.760797407548438,6.269277908229595,28.094636327381902,5.5215349424302085,24.94891960398424,24.94891960398424,0.16,0.26269818683530216,0.8175741593241659,0.550761957227884,24.932775719077416,,9.81489141466337,,,ccpfm_flux,0,1690,135,0.34142011834319524,4.976608779347137,0.6674464891319879,2.124600479807007,0.6343195266272189,0.37779850746268656,3.485435154987582,0.2633433783163791,1.828839176763402,0.3656804733727811,0.2783171521035599,4.976608779347137,0.5113043039656523,2.0120705269266894,1.0,0.34142011834319524,smooth_variable,0,8100,0.0003580119999924136,0.11963814599999978,0,False
,,,,,0.04970068999998034,,,,,,,0.049653250000005755,,,49.82065111427153,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.16,0.426467005448089,,1.307125744760291,21.133768581537428,,9.23047589047262,,,wls_strong,,,136,,,,,,,,,,,,,,,,,smooth_variable,,8101,0.00043580700000234174,0.09978974699998844,1,False
,,,,,0.06801580300000865,,,,,,,0.08718150699999683,,,38.76267587478661,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.1707934841086942,,3.9094854427018735,21.6724063694903,,9.424677205927898,,,wls_strong,,,97,,,,,,,,,,,,,,,,,smooth_variable,,8100,0.0007462279999970178,0.1559435380000025,0,False
,,,,,0.0721733950000214,,,,,,,0.09195260099997427,,,47.43049446538937,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.1333311663475574,,2.929040813756181,22.78150599385571,,9.443401304406933,,,wls_strong,,,97,,,,,,,,,,,,,,,,,smooth_variable,,8102,0.004734568999992916,0.16886056499998858,2,False
,,,,,0.0706952410000099,,,,,,,0.08838905999999724,1e-12,CLS-GFD-type-v1,33.00131017441912,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,0.5912122707301531,,1.6840035565321643,971.664638857419,8.670539841659775e-10,229.6929744297163,0.015302463464940023,22.0,cls_gfd,,,94,,,,,,,,,,,,,,,,,smooth_variable,,8101,0.000338491999997359,0.1594227930000045,1,False
nan,nan,nan,0.0,nan,0.0959540220000008,0.0,4.1263254000846175,0.6006322375205144,2.178530274194566,0.745374449339207,0.36879432624113473,0.06948422299998924,,,125.90852154528015,3.034340313734507e-11,1.535792746494809e-10,2.9775070111629787,0.24761173943286294,1.7030075205869528,0.25462555066079295,0.23183391003460208,0.9757455353862446,0.12541715504034445,0.6031156944651236,4.1263254000846175,0.49791117015506986,2.0888162193695705,circle,nan,nan,3.2678813986796866,12.897190439671743,4.752168130190847,20.06794493865958,3.462954512319251,3.2678813986796866,12.897190439671743,4.752168130190847,20.06794493865958,3.462954512319251,16.09077906000569,16.09077906000569,0.2,0.29325689584134573,0.7823724236280377,0.5407302084992837,26.145758457888295,,9.962982383724986,,,ccpfm_flux,0,1135,94,0.333920704845815,4.1263254000846175,0.6006322375205144,2.178530274194566,0.745374449339207,0.36879432624113473,2.9775070111629787,0.24761173943286294,1.7030075205869528,0.25462555066079295,0.23183391003460208,4.1263254000846175,0.49791117015506986,2.0888162193695705,1.0,0.333920704845815,smooth_variable,0,8101,0.00023580999999239793,0.16567405499998245,1,False
nan,nan,nan,0.0,nan,0.06342304399998966,0.0,5.218920320940509,0.7136084624614943,2.046993942858203,0.6352729454109178,0.3918791312559018,0.05417230899999481,,,200.26853492076185,1.1953032942775554e-10,6.989613106176949e-10,3.0444184706864985,0.2968803246383165,1.8485090397322193,0.36472705458908217,0.2894736842105263,0.9747079820669262,0.1504793248289918,0.6355888277922016,5.218920320940509,0.5799251908867764,1.9903399605268506,circle,nan,nan,5.106321576085749,19.498818450555728,6.561314500947599,27.990071681926054,5.726524358515637,5.106321576085749,19.498818450555728,6.561314500947599,27.990071681926054,5.726524358515637,26.135518604975356,26.135518604975356,0.16,0.23625866500361062,0.8005296549623676,0.48980892066478754,25.688274505519285,,9.61728061813628,,,ccpfm_flux,0,1667,136,0.35452909418116374,5.218920320940509,0.7136084624614943,2.046993942858203,0.6352729454109178,0.3918791312559018,3.0444184706864985,0.2968803246383165,1.8485090397322193,0.36472705458908217,0.2894736842105263,5.218920320940509,0.5799251908867764,1.9903399605268506,1.0,0.35452909418116374,smooth_variable,0,8101,0.0003945750000013959,0.11798992799998587,1,False
,,,,,0.09537884800002416,,,,,,,0.08945698599998764,1e-12,CLS-GFD-type-v1,45.1056190647305,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,0.5591575386286555,,1.7242443174312667,703.220257702492,8.289617881018785e-10,239.7504006706085,0.01629262495442405,22.0,cls_gfd,,,97,,,,,,,,,,,,,,,,,smooth_variable,,8102,0.0007152719999794499,0.18555110599999125,2,False
