added_edge_correction_rel_max,added_edge_correction_rel_median,added_edge_correction_rel_p90,added_edge_fraction,added_edge_negative_lambda_fraction,added_prior_anchor,assembly_seconds,boundary_band_live,boundary_band_prior_anchor,boundary_edge_correction_rel_max,boundary_edge_correction_rel_median,boundary_edge_correction_rel_p90,boundary_edge_fraction,boundary_edge_negative_lambda_fraction,boundary_split_factor,constraint_regularization,constraint_resid_inf,constraint_resid_l2,core_edge_correction_rel_max,core_edge_correction_rel_median,core_edge_correction_rel_p90,core_edge_fraction,core_edge_negative_lambda_fraction,core_prior_anchor,correction_abs_max,correction_abs_median,correction_rel_l2,correction_rel_max,correction_rel_median,correction_rel_p90,domain,effective_weight_added_edge_median,effective_weight_added_edge_p90,effective_weight_boundary_edge_median,effective_weight_boundary_edge_p90,effective_weight_core_edge_median,effective_weight_core_edge_p90,effective_weight_median,effective_weight_original_boundary_edge_median,effective_weight_original_boundary_edge_p90,effective_weight_original_core_edge_median,effective_weight_original_core_edge_p90,effective_weight_original_edge_median,effective_weight_original_edge_p90,effective_weight_p90,family_seed,frac_err2_near_boundary_interior,frac_max_error_on_boundary,h_target,l2,l2_core_interior,l2_interior,l2_near_boundary_interior,lambda_ratio_median,linf,linf_core_interior,linf_interior,linf_near_boundary_interior,max_added_edges_on_flagged_node,max_error_dist_boundary,max_error_idx,max_error_is_boundary,max_error_local_cond,max_error_local_sigma_min,max_error_region,max_error_x,max_error_y,max_local_cond,max_local_size,mean_added_edges_per_flagged_node,median_dist_boundary,median_local_cond,median_radius,min_local_sigma_min,n_added_edges,n_boundary,n_core_interior,n_edges,n_flagged_enrichment_nodes,n_flagged_nodes_with_added_edges,n_flagged_nodes_without_added_edges,n_force_flagged_enrichment_nodes,n_interior,n_interior_eval,n_near_boundary_interior,n_original_edges,n_points,negative_lambda_fraction,operator,original_boundary_edge_correction_rel_max,original_boundary_edge_correction_rel_median,original_boundary_edge_correction_rel_p90,original_boundary_edge_fraction,original_boundary_edge_negative_lambda_fraction,original_core_edge_correction_rel_max,original_core_edge_correction_rel_median,original_core_edge_correction_rel_p90,original_core_edge_fraction,original_core_edge_negative_lambda_fraction,original_edge_correction_rel_max,original_edge_correction_rel_median,original_edge_correction_rel_p90,original_edge_fraction,original_edge_negative_lambda_fraction,original_prior_anchor,patch_const_max,patch_quad_max,patch_x2h_max,patch_x_max,patch_xy_max,patch_y2h_max,patch_y_max,prior_blend_geom,prior_blend_wls,rms,rms_core_interior,rms_interior,rms_near_boundary_interior,selected_attempt_alpha,selected_attempt_idx,selected_attempt_max_neighbors,selected_attempt_min_neighbors,solve_seconds,status,total_seconds,trial,unstable,unstable_reasons
,,,,,,0.08280888399167452,,,,,,,,2.0,,0.0,0.0,,,,,,,,,0.0,,,,circle,,,,,,,,,,,,,,,1000,0.5490719678209994,0.0,0.2,1.145036380892681,1.2966510915071563,1.3684712527113092,1.4373115966413048,1.0,6.126940708067762,3.8477727289879438,6.126940708067762,6.126940708067762,,0.11000000000000003,57,False,38.63714863268215,0.07340979986665323,near_boundary_interior,0.5231288745402516,-0.720025124993739,52.651915643726696,23,,0.32174946036968216,30.383796984964896,0.08159745955696332,0.048779527667489164,,40,22,0,,,,,57,57,35,,97,0.0,wls,,,,,,,,,,,,,,,,,1.5987211554602254e-14,7.105427357601002e-15,9.325873406851315e-15,1.7319479184152442e-14,2.3037127760971998e-14,6.217248937900877e-15,1.2989609388114332e-14,,,1.1526456524655004,1.3501561671129283,1.5036413346969106,1.5925643934168516,,,,,0.0007569950103061274,ok,0.08356587900198065,0,False,
nan,nan,nan,0.0,nan,1.0,0.12646523599687498,0.0,1.0,3.751528932925977,0.7333418386838595,2.1750915610063846,0.7577777777777778,0.39589442815249265,2.0,1e-13,1.2214396161169816e-12,7.947099086983584e-12,2.93817587190173,0.25716996448660046,1.5918692717289928,0.24222222222222223,0.1834862385321101,1.0,0.33189200096055366,0.053276524825655924,0.5627943634726618,3.751528932925977,0.5892868665877891,2.0954273095659848,circle,nan,nan,4.260761440525497,19.345785659507275,7.057147212818672,31.155991626305607,4.9140779912052786,4.260761440525497,19.345785659507275,7.057147212818672,31.155991626305607,4.9140779912052786,21.924241141221934,21.924241141221934,1000,0.40564741926350667,0.0,0.2,0.16821736203836346,0.21869714913868157,0.20104219219389743,0.18149396346027805,0.6978022011003355,0.4063253523570991,0.4063253523570991,0.4063253523570991,0.36617616606202485,0,0.5342532660272544,82,False,9.276828983499366,0.2876380487664378,interior_core,0.3468512367518682,-0.31259126189122466,25.594392111288265,51,0.0,0.32174946036968216,9.785719637439671,0.08159745955696332,0.17657295042785506,0,40,22,1350,0,0,0,0,57,57,35,1350,97,0.34444444444444444,ccpfm,3.751528932925977,0.7333418386838595,2.1750915610063846,0.7577777777777778,0.39589442815249265,2.93817587190173,0.25716996448660046,1.5918692717289928,0.24222222222222223,0.1834862385321101,3.751528932925977,0.5892868665877891,2.0954273095659848,1.0,0.34444444444444444,1.0,6.750155989720952e-14,5.28594945592431e-11,1.740985133835693e-11,3.102645917962832e-11,3.336755871607977e-11,6.530065377319261e-11,4.127265196274266e-11,0.35,0.65,0.14226403621989236,0.22171615113598286,0.18558529661174528,0.1587190955576704,2.35,0,68,24,0.00037184800021350384,ok,0.12683708399708848,0,False,
,,,,,,0.1528361800010316,,,,,,,,2.0,,0.0,0.0,,,,,,,,,0.0,,,,circle,,,,,,,,,,,,,,,1000,0.6032154025760734,0.0,0.16,0.40192769893733965,0.3661522639344739,0.46325974270343057,0.5956720663606789,1.0,1.7592124653268146,0.8454662971458141,1.7592124653268146,1.7592124653268146,,0.088,54,False,65.12262964504438,0.04224772682999539,near_boundary_interior,0.48867403702092704,0.7700270680577855,77.18167675829748,23,,0.3239967360095416,44.226001059108405,0.06530214031049061,0.033864049320889614,,50,47,0,,,,,91,91,44,,141,0.0,wls,,,,,,,,,,,,,,,,,2.930988785010413e-14,1.2434497875801753e-14,1.1324274851176597e-14,2.0872192862952943e-14,1.2656542480726785e-14,9.325873406851315e-15,2.1094237467877974e-14,,,0.44923334262905606,0.36977994638656786,0.5591918624748285,0.7075669779258686,,,,,0.0015498749999096617,ok,0.15438605500094127,0,False,
,,,,,,0.18893091200152412,,,,,,,,2.0,,0.0,0.0,,,,,,,,,0.0,,,,circle,,,,,,,,,,,,,,,1000,0.30858159141423813,0.0,0.12,0.14475261164421052,0.15712160631827096,0.16073327703165555,0.1698237526858614,1.0,0.5322659191606627,0.5322659191606627,0.5322659191606627,0.47024079145784675,,0.575960170772642,221,False,64.99006433215872,0.03828600970933338,interior_core,-0.4054115994167333,0.12449378524210894,136.18721277072123,23,,0.32082623899535867,72.47877390453817,0.05789227309425775,0.019638345394354644,,66,99,0,,,,,158,158,59,,224,0.0,wls,,,,,,,,,,,,,,,,,7.149836278586008e-14,3.197442310920451e-14,1.3322676295501878e-14,2.7533531010703882e-14,1.7763568394002505e-14,2.731148640577885e-14,6.217248937900877e-14,,,0.14722483132397834,0.15680461857256572,0.1752978264012014,0.20257045907546578,,,,,0.001592083994182758,ok,0.19052299599570688,0,False,
nan,nan,nan,0.0,nan,1.0,0.28361090800899547,0.0,1.0,3.6239719907690957,0.6784774345369758,1.8429332953809574,0.6550024642681124,0.35891647855530473,2.0,1e-13,2.176935715025863e-12,1.4505644832958428e-11,2.687193176928346,0.2763494302275538,1.6313012217897673,0.34499753573188763,0.26,1.0,0.312159960663532,0.04786551443776638,0.5621164051326396,3.6239719907690957,0.5515842864425616,1.7552344790427679,circle,nan,nan,6.42781986216125,28.701797899462335,10.444176317007566,47.046084147397785,7.70325516278269,6.42781986216125,28.701797899462335,10.444176317007566,47.046084147397785,7.70325516278269,34.44536552897785,34.44536552897785,1000,0.2927930195446019,0.0,0.16,0.10100932844225231,0.12284886192414259,0.11642281840371299,0.10429534612240018,0.6787639199112318,0.25701704418966764,0.25701704418966764,0.25701704418966764,0.21190270340485462,0,0.4939228533185625,120,False,9.221245197375776,0.2895603704617603,interior_core,-0.3315633793309384,-0.38268715800938957,24.320428699575533,46,0.0,0.3239967360095416,9.643853526655809,0.06530214031049061,0.17309570925840156,0,50,47,2029,0,0,0,0,91,91,44,2029,141,0.3247905372104485,ccpfm,3.6239719907690957,0.6784774345369758,1.8429332953809574,0.6550024642681124,0.35891647855530473,2.687193176928346,0.2763494302275538,1.6313012217897673,0.34499753573188763,0.26,3.6239719907690957,0.5515842864425616,1.7552344790427679,1.0,0.3247905372104485,1.0,1.4654943925052066e-13,1.5499335148660975e-10,7.124378864631353e-11,8.610597911767881e-11,1.5002150736964648e-10,8.375267146476517e-11,9.724813901205998e-11,0.35,0.65,0.08874957598178766,0.1225878848436449,0.11047274540368734,0.09585483738669638,2.35,0,68,24,0.0005504519940586761,ok,0.28416136000305414,0,False,
nan,nan,nan,0.0,nan,1.0,0.3447091550042387,0.0,1.0,5.028282473852827,0.6868383017653682,1.8912765147365334,0.5333123821495914,0.3624042427813789,2.0,1e-13,1.4649885471396118e-11,1.0043304239482347e-10,2.6718451709247764,0.34437598554607735,1.6789113249813354,0.4666876178504085,0.2868686868686869,1.0,0.2856209355245107,0.053297027432244744,0.576390055860938,5.028282473852827,0.5416923860495167,1.7549907234657516,circle,nan,nan,11.98045475411802,47.57492638055966,16.441346376441587,77.00442573085878,14.126887900109798,11.98045475411802,47.57492638055966,16.441346376441587,77.00442573085878,14.126887900109798,62.15692521941899,62.15692521941899,1000,0.18912034881238013,0.0,0.12,0.06807875173325433,0.080025577777005,0.07559463513657526,0.06252702020585611,0.702848904708294,0.1929069384776949,0.1929069384776949,0.1929069384776949,0.1256069198613887,0,0.3428501846570941,116,False,8.855131357280436,0.2997806286970622,interior_core,0.43221979478378997,0.49502504768580013,25.294643975491436,45,0.0,0.32082623899535867,9.506390960507836,0.05789227309425775,0.16762508094855283,0,66,99,3182,0,0,0,0,158,158,59,3182,224,0.3271527341294783,ccpfm,5.028282473852827,0.6868383017653682,1.8912765147365334,0.5333123821495914,0.3624042427813789,2.6718451709247764,0.34437598554607735,1.6789113249813354,0.4666876178504085,0.2868686868686869,5.028282473852827,0.5416923860495167,1.7549907234657516,1.0,0.3271527341294783,1.0,2.7355895326763857e-13,1.820744000013974e-09,1.495914503379936e-09,1.168818375418823e-09,1.584428588330411e-09,1.5400014596878009e-09,1.2152168160639576e-09,0.35,0.65,0.06144763875580909,0.07950821891104631,0.07316454306322709,0.06105677082826608,2.35,0,68,24,0.0014340149937197566,ok,0.34614316999795847,0,False,
,,,,,,0.348532793999766,,,,,,,,2.0,,0.0,0.0,,,,,,,,,0.0,,,,circle,,,,,,,,,,,,,,,1000,0.3397029841168557,0.0,0.1,0.09105747258572863,0.09454226196112309,0.09936092570494348,0.11131094979143255,1.0,0.38556468392501814,0.28622020490936506,0.38556468392501814,0.38556468392501814,,0.054999999999999986,116,False,170.4492765952645,0.016061693784254597,near_boundary_interior,0.8712576690821211,-0.3659712356965786,195.76808038334391,23,,0.3224209933451369,102.54923200860956,0.04854809641553886,0.013143124023267047,,79,146,0,,,,,225,225,79,,304,0.0,wls,,,,,,,,,,,,,,,,,9.547918011776346e-14,4.3520742565306136e-14,4.0190073491430667e-14,8.060219158778636e-14,2.7033930649622562e-14,2.5757174171303632e-14,5.3290705182007514e-14,,,0.09169262663826237,0.09496465707736457,0.10658103823573102,0.12524516289042606,,,,,0.002737410002737306,ok,0.3512702040025033,0,False,
,,,,,,0.060510662995511666,,,,,,,,2.0,,0.0,0.0,,,,,,,,,0.0,,,,circle,,,,,,,,,,,,,,,1001,0.5329872039399758,0.0,0.2,0.9206674158220691,1.0965799093254234,1.1040935058413575,1.110805584836244,1.0,2.914977844324512,2.515793858293301,2.914977844324512,2.914977844324512,,0.10999999999999999,55,False,34.506448235421765,0.08141818080455004,near_boundary_interior,-1.0225344626630001e-13,-0.89,46.3892214744399,23,,0.3330876172749911,27.849182676900753,0.08159745955696322,0.05866781704033004,,40,21,0,,,,,56,56,35,,96,0.0,wls,,,,,,,,,,,,,,,,,1.7985612998927536e-14,8.659739592076221e-15,6.439293542825908e-15,1.0325074129013956e-14,2.1087298573974067e-14,4.884981308350689e-15,1.1102230246251565e-14,,,0.8953557903645573,1.1030726039434622,1.172295909503599,1.2119335036873213,,,,,0.0005457400111481547,ok,0.06105640300665982,1,False,
nan,nan,nan,0.0,nan,1.0,0.11974946899863426,0.0,1.0,3.759786692082153,0.7616852539935266,2.1346033235230726,0.7610486891385768,0.39665354330708663,2.0,1e-13,1.2539153743107434e-12,7.636623396875524e-12,2.5557261772456856,0.22688492394616627,1.410558050624635,0.2389513108614232,0.21316614420062696,1.0,0.2796678705242979,0.05209862551046489,0.5637619611235131,3.759786692082153,0.6100385315040752,1.985527422383567,circle,nan,nan,4.260761440524075,19.248651817398013,6.902150974766471,28.643486254641335,4.6732818331428545,4.260761440524075,19.248651817398013,6.902150974766471,28.643486254641335,4.6732818331428545,22.183212005512175,22.183212005512175,1001,0.5904203864034759,0.0,0.2,0.10841530273767273,0.12092967190492748,0.1300150625832759,0.1376728013964279,0.6813817143708966,0.28551579259146054,0.28551579259146054,0.28551579259146054,0.24811125042250248,0,0.4702461210636429,76,False,8.828485810275657,0.30530475137080476,interior_core,0.3242021393930633,-0.41958746677122655,25.36383460051419,51,0.0,0.3330876172749911,10.008688836732103,0.08159745955696322,0.17117301886255196,0,40,21,1335,0,0,0,0,56,56,35,1335,96,0.35280898876404493,ccpfm,3.759786692082153,0.7616852539935266,2.1346033235230726,0.7610486891385768,0.39665354330708663,2.5557261772456856,0.22688492394616627,1.410558050624635,0.2389513108614232,0.21316614420062696,3.759786692082153,0.6100385315040752,1.985527422383567,1.0,0.35280898876404493,1.0,9.414691248821327e-14,4.164490974289947e-11,2.990563352511799e-11,3.02278861663563e-11,4.375968185900414e-11,3.992062236335414e-11,3.819089489098815e-11,0.35,0.65,0.09401015244721378,0.11797164458323676,0.12308818276677004,0.12605846192746098,2.35,0,68,24,0.0005013250047340989,ok,0.12025079400336836,1,False,
nan,nan,nan,0.0,nan,1.0,0.4829853099945467,0.0,1.0,5.094055455034545,0.7843268972204998,1.9141549514553593,0.4657313707451702,0.3782716049382716,2.0,1e-13,3.7850286056448357e-11,3.012101999013906e-10,2.657886113633588,0.3750429699948202,1.6530102159568982,0.5342686292548298,0.30606973740852345,1.0,0.30294431547056544,0.05933599981624875,0.5896479815646445,5.094055455034545,0.585609911831077,1.7322579865779641,circle,nan,nan,16.62859159507798,66.52395760437118,23.57989944682226,99.79100212703415,20.123398412122253,16.62859159507798,66.52395760437118,23.57989944682226,99.79100212703415,20.123398412122253,89.2906485066425,89.2906485066425,1000,0.15100340965256356,0.0,0.1,0.054017910008674556,0.06359624588225356,0.058943757065682535,0.044025446546646495,0.6866123336506316,0.1472438171199476,0.1472438171199476,0.1472438171199476,0.0974329734771268,0,0.3953769567455178,197,False,9.291670490308125,0.2933360056042883,interior_core,0.40321202234597786,-0.45165371988522085,26.213592170809196,45,0.0,0.3224209933451369,9.468587888291717,0.04854809641553886,0.16792252030099908,0,79,146,4348,0,0,0,0,225,225,79,4348,304,0.33969641214351426,ccpfm,5.094055455034545,0.7843268972204998,1.9141549514553593,0.4657313707451702,0.3782716049382716,2.657886113633588,0.3750429699948202,1.6530102159568982,0.5342686292548298,0.30606973740852345,5.094055455034545,0.585609911831077,1.7322579865779641,1.0,0.33969641214351426,1.0,3.6415315207705135e-13,4.538908804363473e-09,3.6470906294994165e-09,2.8316371469827573e-09,4.082362892177116e-09,3.50627482603727e-09,2.7031781257846887e-09,0.35,0.65,0.04948277650825488,0.06392561265114069,0.05751744593207772,0.04324365393719883,2.35,0,68,24,0.0028971959982300177,ok,0.4858825059927767,0,False,
