domain,h,local_order_l2,median_assembly_seconds,median_condition,median_l2,median_linf,median_n_points,median_solve_seconds,method,problem,trials,unstable_count
annulus,0.16,-1.100366200069124,0.04317811500368407,40.305588746441316,0.8821225131966298,4.7390385877826,143.5,0.0005604420002782717,wls_strong,smooth_variable,10,0
annulus,0.2,nan,0.025088058995606843,16.631037603499124,0.690068817815193,2.736358066055038,102.0,0.00040469050145475194,wls_strong,smooth_variable,10,0
circle,0.1,1.3852521819011792,0.20940507499472005,478.23001354586347,0.13528497820764995,0.33310073759614917,301.0,0.0019150080042891204,ccpfm_flux,smooth_variable,10,0
circle,0.125,1.111569773449463,0.11281637749198126,321.2873273800828,0.18428686538133587,0.40537958525131934,207.0,0.0011924755017389543,ccpfm_flux,smooth_variable,10,0
circle,0.16,0.6566794177359019,0.062015469004109036,201.8314541836732,0.24247431698687408,0.500263007453353,136.0,0.000630520997219719,ccpfm_flux,smooth_variable,10,0
circle,0.2,nan,0.038268144002358895,126.2726890990578,0.2807401680730881,0.5569916416975254,95.0,0.0003663914976641536,ccpfm_flux,smooth_variable,10,0
circle,0.1,3.9116862292763197,0.11145618600858143,79.19466272734039,0.11617488807574808,0.6079913746336725,301.0,0.0014837689959676936,wls_strong,smooth_variable,10,0
circle,0.125,2.499196779923352,0.06381231149862288,68.80407814302498,0.27809541337552857,1.131754310037409,207.0,0.0008600585060776211,wls_strong,smooth_variable,10,0
circle,0.16,4.469597543726156,0.03948557600233471,50.2476490060417,0.5153860235863253,2.0404654693989297,136.0,0.0004791200044564903,wls_strong,smooth_variable,10,0
circle,0.2,nan,0.026562463499431033,47.52622238739242,1.3972734054580962,4.357591430194038,95.0,0.0003591639979276806,wls_strong,smooth_variable,10,0
ellipse,0.1,1.2099579020234583,0.15043049250380136,353.9012713297651,0.14663118333390124,0.336439439360199,265.5,0.0015201269998215139,ccpfm_flux,smooth_variable,10,0
ellipse,0.125,0.9625577009663393,0.08246783699723892,236.70925734720214,0.19208054328845942,0.4400154486770196,180.5,0.0007487304974347353,ccpfm_flux,smooth_variable,10,0
ellipse,0.16,-0.31737229141520973,0.06412826699670404,143.5346574938647,0.2436010507943175,0.5036871232445815,120.0,0.00040848699427442625,ccpfm_flux,smooth_variable,10,0
ellipse,0.2,nan,0.03262273150176043,90.16204697882024,0.22694603756348772,0.4721664064565155,83.5,0.00028623199614230543,ccpfm_flux,smooth_variable,10,0
