added_edge_correction_rel_max,added_edge_correction_rel_median,added_edge_correction_rel_p90,added_edge_fraction,added_edge_negative_lambda_fraction,assembly_seconds,boundary_edge_correction_rel_max,boundary_edge_correction_rel_median,boundary_edge_correction_rel_p90,boundary_edge_negative_lambda_fraction,boundary_split_factor,constraint_resid_inf,constraint_resid_l2,core_edge_correction_rel_max,core_edge_correction_rel_median,core_edge_correction_rel_p90,core_edge_negative_lambda_fraction,correction_abs_max,correction_abs_median,correction_rel_l2,correction_rel_max,correction_rel_median,correction_rel_p90,domain,family_seed,frac_err2_near_boundary_interior,frac_max_error_on_boundary,h_target,l2,l2_core_interior,l2_interior,l2_near_boundary_interior,lambda_ratio_median,linf,linf_core_interior,linf_interior,linf_near_boundary_interior,max_error_dist_boundary,max_error_idx,max_error_is_boundary,max_error_local_cond,max_error_local_sigma_min,max_error_region,max_error_x,max_error_y,max_local_cond,max_local_size,median_dist_boundary,median_local_cond,median_radius,min_local_sigma_min,n_added_edges,n_boundary,n_core_interior,n_edges,n_flagged_enrichment_nodes,n_interior,n_interior_eval,n_near_boundary_interior,n_original_edges,n_points,negative_lambda_fraction,operator,original_edge_correction_rel_max,original_edge_correction_rel_median,original_edge_correction_rel_p90,original_edge_fraction,original_edge_negative_lambda_fraction,patch_const_max,patch_quad_max,patch_x2h_max,patch_x_max,patch_xy_max,patch_y2h_max,patch_y_max,rms,rms_core_interior,rms_interior,rms_near_boundary_interior,solve_seconds,status,total_seconds,trial,unstable,unstable_reasons
,,,,,0.06487679299607407,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1000,0.5490719678209994,0.0,0.2,1.145036380892681,1.2966510915071563,1.3684712527113092,1.4373115966413048,1.0,6.126940708067762,3.8477727289879438,6.126940708067762,6.126940708067762,0.11000000000000003,57,False,38.63714863268215,0.07340979986665323,near_boundary_interior,0.5231288745402516,-0.720025124993739,52.651915643726696,23,0.32174946036968216,30.383796984964896,0.08159745955696332,0.048779527667489164,,40,22,0,,57,57,35,,97,0.0,wls,,,,,,1.5987211554602254e-14,7.105427357601002e-15,9.325873406851315e-15,1.7319479184152442e-14,2.3037127760971998e-14,6.217248937900877e-15,1.2989609388114332e-14,1.1526456524655004,1.3501561671129283,1.5036413346969106,1.5925643934168516,0.0006423870072467253,ok,0.0655191800033208,0,False,
,,,,,0.13446901499992236,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1000,0.6032154025760734,0.0,0.16,0.40192769893733965,0.3661522639344739,0.46325974270343057,0.5956720663606789,1.0,1.7592124653268146,0.8454662971458141,1.7592124653268146,1.7592124653268146,0.088,54,False,65.12262964504438,0.04224772682999539,near_boundary_interior,0.48867403702092704,0.7700270680577855,77.18167675829748,23,0.3239967360095416,44.226001059108405,0.06530214031049061,0.033864049320889614,,50,47,0,,91,91,44,,141,0.0,wls,,,,,,2.930988785010413e-14,1.2434497875801753e-14,1.1324274851176597e-14,2.0872192862952943e-14,1.2656542480726785e-14,9.325873406851315e-15,2.1094237467877974e-14,0.44923334262905606,0.36977994638656786,0.5591918624748285,0.7075669779258686,0.0007756790000712499,ok,0.13524469399999361,0,False,
,,,,,0.18694571300875396,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1000,0.30858159141423813,0.0,0.12,0.14475261164421052,0.15712160631827096,0.16073327703165555,0.1698237526858614,1.0,0.5322659191606627,0.5322659191606627,0.5322659191606627,0.47024079145784675,0.575960170772642,221,False,64.99006433215872,0.03828600970933338,interior_core,-0.4054115994167333,0.12449378524210894,136.18721277072123,23,0.32082623899535867,72.47877390453817,0.05789227309425775,0.019638345394354644,,66,99,0,,158,158,59,,224,0.0,wls,,,,,,7.149836278586008e-14,3.197442310920451e-14,1.3322676295501878e-14,2.7533531010703882e-14,1.7763568394002505e-14,2.731148640577885e-14,6.217248937900877e-14,0.14722483132397834,0.15680461857256572,0.1752978264012014,0.20257045907546578,0.0018767769943224266,ok,0.18882249000307638,0,False,
nan,nan,nan,0.0,nan,0.2569688090006821,3.3819535095465807,0.8201063590562035,2.0219769710755897,0.4168618266978923,2.0,1.216846068352595e-12,8.667589665440755e-12,2.473697579994578,0.22982562092884004,1.6862206557403951,0.23821339950372208,0.2515097758391893,0.04756959720152276,0.5644697158779252,3.3819535095465807,0.669922652652323,1.951610057812315,circle,1000,0.5003861513034085,0.0,0.2,0.1868063665844002,0.2226686800210293,0.2232585328816396,0.2238521769803341,0.7213047177405508,0.4409392839210163,0.41590287939424636,0.4409392839210163,0.4409392839210163,0.3924317864593679,95,False,9.712012239717248,0.30150228640841614,near_boundary_interior,-0.46684573222716197,0.39563548158246975,26.222470236834376,57,0.32174946036968216,10.77351722341827,0.08159745955696332,0.18574827703774016,0,40,22,1684,0,57,57,35,1684,97,0.37410926365795727,ccpfm,3.3819535095465807,0.669922652652323,1.951610057812315,1.0,0.37410926365795727,1.2789769243681803e-13,7.477951591283727e-11,7.918832256592623e-11,2.970529378032438e-11,6.442190531030789e-11,5.923661561269e-11,3.47446516002492e-11,0.15822607724775042,0.2273056745407115,0.2064079879777145,0.19211228447614412,0.0005506159941432998,ok,0.2575194249948254,0,False,
nan,nan,nan,0.0,nan,0.4315590830083238,3.6239719907690957,0.6784774345369758,1.8429332953809574,0.35891647855530473,2.0,2.176935715025863e-12,1.4505644832958428e-11,2.687193176928346,0.2763494302275538,1.6313012217897673,0.26,0.312159960663532,0.04786551443776638,0.5621164051326396,3.6239719907690957,0.5515842864425616,1.7552344790427679,circle,1000,0.2927930195446019,0.0,0.16,0.10100932844225231,0.12284886192414259,0.11642281840371299,0.10429534612240018,0.6787639199112318,0.25701704418966764,0.25701704418966764,0.25701704418966764,0.21190270340485462,0.4939228533185625,120,False,9.221245197375776,0.2895603704617603,interior_core,-0.3315633793309384,-0.38268715800938957,24.320428699575533,46,0.3239967360095416,9.643853526655809,0.06530214031049061,0.17309570925840156,0,50,47,2029,0,91,91,44,2029,141,0.3247905372104485,ccpfm,3.6239719907690957,0.5515842864425616,1.7552344790427679,1.0,0.3247905372104485,1.4654943925052066e-13,1.5499335148660975e-10,7.124378864631353e-11,8.610597911767881e-11,1.5002150736964648e-10,8.375267146476517e-11,9.724813901205998e-11,0.08874957598178766,0.1225878848436449,0.11047274540368734,0.09585483738669638,0.0005358299968065694,ok,0.43209491300513037,0,False,
,,,,,0.2493519429990556,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1000,0.3397029841168557,0.0,0.1,0.09105747258572863,0.09454226196112309,0.09936092570494348,0.11131094979143255,1.0,0.38556468392501814,0.28622020490936506,0.38556468392501814,0.38556468392501814,0.054999999999999986,116,False,170.4492765952645,0.016061693784254597,near_boundary_interior,0.8712576690821211,-0.3659712356965786,195.76808038334391,23,0.3224209933451369,102.54923200860956,0.04854809641553886,0.013143124023267047,,79,146,0,,225,225,79,,304,0.0,wls,,,,,,9.547918011776346e-14,4.3520742565306136e-14,4.0190073491430667e-14,8.060219158778636e-14,2.7033930649622562e-14,2.5757174171303632e-14,5.3290705182007514e-14,0.09169262663826237,0.09496465707736457,0.10658103823573102,0.12524516289042606,0.0023669240035815164,ok,0.2517188670026371,0,False,
,,,,,0.35400398899219,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1000,0.1763975998200887,0.0,0.08,0.05153785532935537,0.05580030065922624,0.05511929965813384,0.05224007525843166,1.0,0.1794465059388498,0.1794465059388498,0.1794465059388498,0.1686804244360075,0.16335813355984102,157,False,167.27512088870165,0.014119343839295542,interior_core,0.5016593599356639,-0.6712591188787685,328.82683642684896,23,0.29311453088231976,155.26542772440627,0.03928389887850495,0.008069871380996033,,99,253,0,,351,351,98,,450,0.0,wls,,,,,,1.5631940186722204e-13,7.061018436615996e-14,3.68594044175552e-14,6.750155989720952e-14,6.356026815979021e-14,5.417888360170764e-14,1.1723955140041653e-13,0.04919405897055627,0.056112800944492565,0.05570130318871581,0.054624637518134705,0.0028420870075933635,ok,0.35684607599978335,0,False,
,,,,,0.059598998006549664,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1001,0.5329872039399758,0.0,0.2,0.9206674158220691,1.0965799093254234,1.1040935058413575,1.110805584836244,1.0,2.914977844324512,2.515793858293301,2.914977844324512,2.914977844324512,0.10999999999999999,55,False,34.506448235421765,0.08141818080455004,near_boundary_interior,-1.0225344626630001e-13,-0.89,46.3892214744399,23,0.3330876172749911,27.849182676900753,0.08159745955696322,0.05866781704033004,,40,21,0,,56,56,35,,96,0.0,wls,,,,,,1.7985612998927536e-14,8.659739592076221e-15,6.439293542825908e-15,1.0325074129013956e-14,2.1087298573974067e-14,4.884981308350689e-15,1.1102230246251565e-14,0.8953557903645573,1.1030726039434622,1.172295909503599,1.2119335036873213,0.00028363498859107494,ok,0.05988263299514074,1,False,
nan,nan,nan,0.0,nan,0.7226376249891473,5.028282473852827,0.6868383017653682,1.8912765147365334,0.3624042427813789,2.0,1.4649885471396118e-11,1.0043304239482347e-10,2.6718451709247764,0.34437598554607735,1.6789113249813354,0.2868686868686869,0.2856209355245107,0.053297027432244744,0.576390055860938,5.028282473852827,0.5416923860495167,1.7549907234657516,circle,1000,0.18912034881238013,0.0,0.12,0.06807875173325433,0.080025577777005,0.07559463513657526,0.06252702020585611,0.702848904708294,0.1929069384776949,0.1929069384776949,0.1929069384776949,0.1256069198613887,0.3428501846570941,116,False,8.855131357280436,0.2997806286970622,interior_core,0.43221979478378997,0.49502504768580013,25.294643975491436,45,0.32082623899535867,9.506390960507836,0.05789227309425775,0.16762508094855283,0,66,99,3182,0,158,158,59,3182,224,0.3271527341294783,ccpfm,5.028282473852827,0.5416923860495167,1.7549907234657516,1.0,0.3271527341294783,2.7355895326763857e-13,1.820744000013974e-09,1.495914503379936e-09,1.168818375418823e-09,1.584428588330411e-09,1.5400014596878009e-09,1.2152168160639576e-09,0.06144763875580909,0.07950821891104631,0.07316454306322709,0.06105677082826608,0.0012074109981767833,ok,0.7238450359873241,0,False,
,,,,,0.1140735869994387,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1001,0.546587772830955,0.0,0.16,0.41847007630483973,0.4328585132155632,0.4814638425596602,0.5372043492418092,1.0,2.4325791891661277,0.8296544140968822,2.4325791891661277,2.4325791891661277,0.088,54,False,62.431906411807,0.04367491176458872,near_boundary_interior,0.48867403702092704,0.7700270680577855,80.17531392881324,23,0.3001388866411137,43.461626445696886,0.06530214031049061,0.03216877861952884,,50,41,0,,89,89,48,,139,0.0,wls,,,,,,2.3314683517128287e-14,1.2878587085651816e-14,4.884981308350689e-15,1.4876988529977098e-14,1.5279444376403717e-14,7.549516567451064e-15,1.6209256159527285e-14,0.468728739224676,0.43142509206834356,0.5857792438574704,0.6908326753037646,0.0005436990031739697,ok,0.11461728600261267,1,False,
